message_id;baseline_score;baseline_spam_flag;baseline_rule_count;baseline_action;n_variants;salted_score_mean;salted_score_min;salted_score_max;salted_rule_count_mean;salted_any_spam;salted_all_spam;salted_any_bypass;salted_all_bypass
00002.d94f1b97e48ed3b553b3508d116e6a09;5.999999;False;15;no action;4;5.999999;5.999999;5.999999;15;False;False;True;True
00003.2ee33bc6eacdb11f38d052c44819ba6c;6.1;True;12;add header;4;6.1;6.1;6.1;12;True;True;False;False
00004.eac8de8d759b7e74154f142194282724;21.6;True;20;reject;4;21.6;21.6;21.6;20;True;True;False;False
00009.1e1a8cb4b57532ab38aa23287523659d;15.14;True;27;reject;4;15.14;15.14;15.14;27;True;True;False;False
00024.6b5437b14d403176c3f046c871b5b52f;8.6;True;14;add header;4;8.6;8.6;8.6;14;True;True;False;False
00040.949a3d300eadb91d8745f1c1dab51133;9.930921;True;24;add header;4;9.75962;9.75962;9.75962;24;True;True;False;False
00041.f1b3402799046db3c1f143a911dc085d;13.099005;True;22;add header;4;13.095587;13.095587;13.095587;22;True;True;False;False
00045.7282c2c4e009744f2f3450d370009235;6.099999;True;13;add header;4;6.099999;6.099999;6.099999;13;True;True;False;False
00054.62863160db27f89df8c73275b6dae134;6.6;True;18;add header;4;6.6;6.6;6.6;18;True;True;False;False
00058.64bb1902c4e561fb3e521a6dbf8625be;8.399999;True;23;add header;4;8.399999;8.399999;8.399999;23;True;True;False;False
00064.65b95365450ebe5eef61e7f1c60edc5e;11.09925;True;25;add header;4;11.07741825;11.070141;11.09925;25;True;True;False;False
00067.ec108870b01dc3ccb8fabc5def869ca5;15.399999;True;26;reject;4;15.399999;15.399999;15.399999;26;True;True;False;False
00090.52630c4c07cd069c7bc7658c1a7a7253;7.599999;True;13;add header;4;7.599999;7.599999;7.599999;13;True;True;False;False
00105.d8f25617befc5289aa4ed9602457050b;13.1;True;22;add header;4;13.1;13.1;13.1;22;True;True;False;False
00115.c97af50ef7ccd816f95bbdc6f4d226b2;18.16;True;28;reject;4;17.16;17.16;17.16;27;True;True;False;False
00120.58579af867ff9a702cff23e7b8818a59;7.099999;True;13;add header;4;7.099999;7.099999;7.099999;13;True;True;False;False
00127.3500d109361b544b0937523adb763588;9.6;True;21;add header;4;9.6;9.6;9.6;21;True;True;False;False
00128.721b6b20d5834d490662e2ae8c5c0684;17.324999;True;30;reject;4;16.32499975;16.324999;16.325;29;True;True;False;False
00153.6a5ffe584834ea334041ab958cadcadb;15.099433;True;23;reject;4;15.098847;15.098232;15.099052;23;True;True;False;False
00154.b6c448ccff434e2dbe2c7c200a36aa31;8.099999;True;15;add header;4;8.1;8.1;8.1;15;True;True;False;False
