message_id,variant_filename,vocab_type,codepoint,salt_mode,fragment_max_positions,n_insert_subject,n_insert_body,body_part_found,subject_targets,body_targets
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__strict__cp200B__single.d94f1b97e48ed3b553b3508d116e6a09,strict,200B,single,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu​aranteed"", ""start"": 7, ""end"": 17, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu​aranteed"", ""start"": 87, ""end"": 97, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__strict__cp200C__single.d94f1b97e48ed3b553b3508d116e6a09,strict,200C,single,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu‌aranteed"", ""start"": 7, ""end"": 17, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu‌aranteed"", ""start"": 87, ""end"": 97, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__strict__cp200D__single.d94f1b97e48ed3b553b3508d116e6a09,strict,200D,single,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu‍aranteed"", ""start"": 7, ""end"": 17, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu‍aranteed"", ""start"": 87, ""end"": 97, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__strict__cp00AD__single.d94f1b97e48ed3b553b3508d116e6a09,strict,00AD,single,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu­aranteed"", ""start"": 7, ""end"": 17, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu­aranteed"", ""start"": 87, ""end"": 97, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__strict__cp200B__single.2ee33bc6eacdb11f38d052c44819ba6c,strict,200B,single,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu​aranteed"", ""start"": 0, ""end"": 10, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu​aranteed"", ""start"": 87, ""end"": 97, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__strict__cp200C__single.2ee33bc6eacdb11f38d052c44819ba6c,strict,200C,single,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu‌aranteed"", ""start"": 0, ""end"": 10, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu‌aranteed"", ""start"": 87, ""end"": 97, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__strict__cp200D__single.2ee33bc6eacdb11f38d052c44819ba6c,strict,200D,single,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu‍aranteed"", ""start"": 0, ""end"": 10, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu‍aranteed"", ""start"": 87, ""end"": 97, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__strict__cp00AD__single.2ee33bc6eacdb11f38d052c44819ba6c,strict,00AD,single,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu­aranteed"", ""start"": 0, ""end"": 10, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""Gu­aranteed"", ""start"": 87, ""end"": 97, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00009.1e1a8cb4b57532ab38aa23287523659d,00009__salted__strict__cp200B__single.1e1a8cb4b57532ab38aa23287523659d,strict,200B,single,,0,2,True,[],"[{""original_token"": ""BENEFICIARY"", ""salted_token"": ""BE​NEFICIARY"", ""start"": 1318, ""end"": 1329, ""salt_mode"": ""single"", ""fragment_max_positions"": null}, {""original_token"": ""ASSISTANCE"", ""salted_token"": ""AS​SISTANCE"", ""start"": 2718, ""end"": 2728, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
00009.1e1a8cb4b57532ab38aa23287523659d,00009__salted__strict__cp200C__single.1e1a8cb4b57532ab38aa23287523659d,strict,200C,single,,0,2,True,[],"[{""original_token"": ""BENEFICIARY"", ""salted_token"": ""BE‌NEFICIARY"", ""start"": 1318, ""end"": 1329, ""salt_mode"": ""single"", ""fragment_max_positions"": null}, {""original_token"": ""ASSISTANCE"", ""salted_token"": ""AS‌SISTANCE"", ""start"": 2718, ""end"": 2728, ""salt_mode"": ""single"", ""fragment_max_positions"": null}]"
