message_id,variant_filename,vocab_type,codepoint,salt_mode,fragment_max_positions,subject_original_tokens,subject_salted_tokens,body_original_tokens,body_salted_tokens
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__strict__cp200B__single.d94f1b97e48ed3b553b3508d116e6a09,strict,200B,single,,Guaranteed,Gu​aranteed,Guaranteed,Gu​aranteed
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__strict__cp200C__single.d94f1b97e48ed3b553b3508d116e6a09,strict,200C,single,,Guaranteed,Gu‌aranteed,Guaranteed,Gu‌aranteed
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__strict__cp200D__single.d94f1b97e48ed3b553b3508d116e6a09,strict,200D,single,,Guaranteed,Gu‍aranteed,Guaranteed,Gu‍aranteed
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__strict__cp00AD__single.d94f1b97e48ed3b553b3508d116e6a09,strict,00AD,single,,Guaranteed,Gu­aranteed,Guaranteed,Gu­aranteed
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__strict__cp200B__single.2ee33bc6eacdb11f38d052c44819ba6c,strict,200B,single,,Guaranteed,Gu​aranteed,Guaranteed,Gu​aranteed
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__strict__cp200C__single.2ee33bc6eacdb11f38d052c44819ba6c,strict,200C,single,,Guaranteed,Gu‌aranteed,Guaranteed,Gu‌aranteed
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__strict__cp200D__single.2ee33bc6eacdb11f38d052c44819ba6c,strict,200D,single,,Guaranteed,Gu‍aranteed,Guaranteed,Gu‍aranteed
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__strict__cp00AD__single.2ee33bc6eacdb11f38d052c44819ba6c,strict,00AD,single,,Guaranteed,Gu­aranteed,Guaranteed,Gu­aranteed
00009.1e1a8cb4b57532ab38aa23287523659d,00009__salted__strict__cp200B__single.1e1a8cb4b57532ab38aa23287523659d,strict,200B,single,,,,"BENEFICIARY, ASSISTANCE","BE​NEFICIARY, AS​SISTANCE"
00009.1e1a8cb4b57532ab38aa23287523659d,00009__salted__strict__cp200C__single.1e1a8cb4b57532ab38aa23287523659d,strict,200C,single,,,,"BENEFICIARY, ASSISTANCE","BE‌NEFICIARY, AS‌SISTANCE"
