message_id;baseline_score;baseline_spam_flag;baseline_rule_count;baseline_action;n_variants;salted_score_mean;salted_score_min;salted_score_max;salted_rule_count_mean;salted_any_spam;salted_all_spam;salted_any_bypass;salted_all_bypass
00002.d94f1b97e48ed3b553b3508d116e6a09;-1.916105;False;15;no action;4;-1.91585575;-1.915872;-1.915807;15;False;False;True;True
00003.2ee33bc6eacdb11f38d052c44819ba6c;0.035881;False;12;no action;4;0.03903175;0.038957;0.039256;12;False;False;True;True
00004.eac8de8d759b7e74154f142194282724;19.499802;True;20;reject;4;19.499802;19.499802;19.499802;20;True;True;False;False
00009.1e1a8cb4b57532ab38aa23287523659d;13.039577;True;27;add header;4;13.11463325;13.114633;13.114634;27;True;True;False;False
00012.cb9c9f2a25196f5b16512338625a85b4;8.8;True;18;add header;4;8.8;8.8;8.8;18;True;True;False;False
00024.6b5437b14d403176c3f046c871b5b52f;6.499897;True;14;add header;4;6.499897;6.499897;6.499897;14;True;True;False;False
00025.619ab8051359048795e3cd09e82ad1a0;7.3;True;19;add header;4;7.3;7.3;7.3;19;True;True;False;False
00040.949a3d300eadb91d8745f1c1dab51133;6.948311;True;24;add header;4;6.9460745;6.94574;6.947078;24;True;True;False;False
00041.f1b3402799046db3c1f143a911dc085d;10.999878;True;22;add header;4;10.999878;10.999878;10.999878;22;True;True;False;False
00044.9f8c4b9ae007c6ded3d57476082bf2b2;9.8;True;15;add header;4;9.8;9.8;9.8;15;True;True;False;False
00045.7282c2c4e009744f2f3450d370009235;2.776442;False;13;no action;4;2.7787292499999996;2.778675;2.778892;13;False;False;True;True
00054.62863160db27f89df8c73275b6dae134;3.988334;False;18;no action;4;3.988334;3.988334;3.988334;18;False;False;True;True
00058.64bb1902c4e561fb3e521a6dbf8625be;6.3;True;23;add header;4;6.3;6.3;6.3;23;True;True;False;False
00064.65b95365450ebe5eef61e7f1c60edc5e;8.999999;True;25;add header;4;8.999999;8.999999;8.999999;25;True;True;False;False
00067.ec108870b01dc3ccb8fabc5def869ca5;13.299999;True;26;add header;4;13.299999;13.299999;13.299999;26;True;True;False;False
00074.f7cfc6a5142e788004e0cff70e3a36c0;17.0;True;26;reject;4;17.0;17.0;17.0;26;True;True;False;False
00078.6944f51ce9c0586d8f9137d2d2207df0;13.5;True;30;add header;4;13.5;13.5;13.5;30;True;True;False;False
00090.52630c4c07cd069c7bc7658c1a7a7253;5.499499;False;13;no action;4;5.49949925;5.499499;5.4995;13;False;False;True;True
00101.5a24bf3ba3962442179b1a0325a1d1cb;11.5;True;26;add header;4;11.5;11.5;11.5;26;True;True;False;False
00104.67ea4a37ac02d37f4baa7631ba17a824;12.8;True;23;add header;4;12.8;12.8;12.8;23;True;True;False;False
00105.d8f25617befc5289aa4ed9602457050b;11.0;True;22;add header;4;11.0;11.0;11.0;22;True;True;False;False
00113.0449844c534e41730bb7a0ab513580e9;8.3;True;20;add header;4;8.3;8.3;8.3;20;True;True;False;False
00115.c97af50ef7ccd816f95bbdc6f4d226b2;16.06;True;28;reject;4;15.06;15.06;15.06;27;True;True;False;False
00120.58579af867ff9a702cff23e7b8818a59;4.996626;False;13;no action;4;4.99662925;4.996629;4.99663;13;False;False;True;True
00123.a5ee0040ec9a30b3f32f61e547fa5f8f;14.0;True;19;add header;4;14.0;14.0;14.0;19;True;True;False;False
00127.3500d109361b544b0937523adb763588;7.499972;True;21;add header;4;7.499972;7.499972;7.499972;21;True;True;False;False
00128.721b6b20d5834d490662e2ae8c5c0684;15.225;True;30;reject;4;14.3;14.3;14.3;29;True;True;False;False
00130.1ad579dc65cd646549fe87f565bdec5c;10.5;True;20;add header;4;10.5;10.5;10.5;20;True;True;False;False
00144.a439c28b51d6b53f4fbf3bf427b55ed2;11.0;True;22;add header;4;11.0;11.0;11.0;22;True;True;False;False
00153.6a5ffe584834ea334041ab958cadcadb;12.999233;True;23;add header;4;18.24940975;12.999231;19.99947;23.75;True;True;False;False
00154.b6c448ccff434e2dbe2c7c200a36aa31;5.966537;False;15;no action;4;5.9665085;5.9665;5.966534;15;False;False;True;True
00155.b043f6801a72ada945205709c44c8ac4;9.35;True;22;add header;4;9.35;9.35;9.35;22;True;True;False;False
00159.6b641c70d79fd5a69b84a94b4e88150a;11.28284;True;24;add header;4;11.2828275;11.282825;11.282835;24;True;True;False;False
00160.cec5f611ae665ff0add6c4928d47f2be;8.886076;True;20;add header;4;8.8862805;8.8862;8.886522;20;True;True;False;False
00161.37836bbc77bdab253f914d7a5233badb;13.3;True;24;add header;4;13.3;13.3;13.3;24;True;True;False;False
00163.2ceade6f8b0c1c342f5f95d57ac551f5;10.289878;True;26;add header;4;10.289877;10.289877;10.289877;26;True;True;False;False
00169.86268e75abd1bd4bda4d6c129681df34;3.981092;False;14;no action;4;3.9810742500000003;3.981072;3.981081;14;False;False;True;True
00172.0935a6d0aef9a3d6d64e07e3f6c453ec;10.499962;True;16;add header;4;10.499962;10.499962;10.499962;16;True;True;False;False
00173.e10eb62e2c7808674c43d6a5e9e08a1c;8.8;True;23;add header;4;8.8;8.8;8.8;23;True;True;False;False
00179.ef2f7cf60806a96b59f4477b025580ee;8.998921;True;22;add header;4;8.496101249999999;8.496101;8.496102;21;True;True;False;False
00180.751cb63992e172566b3a296d970c425d;8.409876;True;17;add header;4;7.909555;7.909555;7.909555;16;True;True;False;False
00182.1b9ba0f95506a6f2bf256f40fad0687d;8.997645;True;19;add header;4;8.997645;8.997645;8.997645;19;True;True;False;False
00185.8ca19012fa3f2a906f23c3b41f11ffed;2.442763;False;13;no action;4;2.43882025;2.437976;2.441353;13;False;False;True;True
