message_id,variant_filename,vocab_type,codepoint,salt_mode,fragment_max_positions,subject_original_tokens,subject_salted_tokens,body_original_tokens,body_salted_tokens
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__extended__cp200B__single.d94f1b97e48ed3b553b3508d116e6a09,extended,200B,single,,Guaranteed,Gu​aranteed,Guaranteed,Gu​aranteed
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__extended__cp200C__single.d94f1b97e48ed3b553b3508d116e6a09,extended,200C,single,,Guaranteed,Gu‌aranteed,Guaranteed,Gu‌aranteed
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__extended__cp200D__single.d94f1b97e48ed3b553b3508d116e6a09,extended,200D,single,,Guaranteed,Gu‍aranteed,Guaranteed,Gu‍aranteed
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__extended__cp00AD__single.d94f1b97e48ed3b553b3508d116e6a09,extended,00AD,single,,Guaranteed,Gu­aranteed,Guaranteed,Gu­aranteed
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__extended__cp200B__single.2ee33bc6eacdb11f38d052c44819ba6c,extended,200B,single,,Guaranteed,Gu​aranteed,Guaranteed,Gu​aranteed
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__extended__cp200C__single.2ee33bc6eacdb11f38d052c44819ba6c,extended,200C,single,,Guaranteed,Gu‌aranteed,Guaranteed,Gu‌aranteed
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__extended__cp200D__single.2ee33bc6eacdb11f38d052c44819ba6c,extended,200D,single,,Guaranteed,Gu‍aranteed,Guaranteed,Gu‍aranteed
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__extended__cp00AD__single.2ee33bc6eacdb11f38d052c44819ba6c,extended,00AD,single,,Guaranteed,Gu­aranteed,Guaranteed,Gu­aranteed
00004.eac8de8d759b7e74154f142194282724,00004__salted__extended__cp200B__single.eac8de8d759b7e74154f142194282724,extended,200B,single,,,,"Click, Removal, advertisement","Cl​ick, Re​moval, ad​vertisement"
00004.eac8de8d759b7e74154f142194282724,00004__salted__extended__cp200C__single.eac8de8d759b7e74154f142194282724,extended,200C,single,,,,"Click, Removal, advertisement","Cl‌ick, Re‌moval, ad‌vertisement"
00004.eac8de8d759b7e74154f142194282724,00004__salted__extended__cp200D__single.eac8de8d759b7e74154f142194282724,extended,200D,single,,,,"Click, Removal, advertisement","Cl‍ick, Re‍moval, ad‍vertisement"
00004.eac8de8d759b7e74154f142194282724,00004__salted__extended__cp00AD__single.eac8de8d759b7e74154f142194282724,extended,00AD,single,,,,"Click, Removal, advertisement","Cl­ick, Re­moval, ad­vertisement"
00009.1e1a8cb4b57532ab38aa23287523659d,00009__salted__extended__cp200B__single.1e1a8cb4b57532ab38aa23287523659d,extended,200B,single,,,,"DEAR, SIR, USD","DE​AR, SI​R, US​D"
00009.1e1a8cb4b57532ab38aa23287523659d,00009__salted__extended__cp200C__single.1e1a8cb4b57532ab38aa23287523659d,extended,200C,single,,,,"DEAR, SIR, USD","DE‌AR, SI‌R, US‌D"
00009.1e1a8cb4b57532ab38aa23287523659d,00009__salted__extended__cp200D__single.1e1a8cb4b57532ab38aa23287523659d,extended,200D,single,,,,"DEAR, SIR, USD","DE‍AR, SI‍R, US‍D"
00009.1e1a8cb4b57532ab38aa23287523659d,00009__salted__extended__cp00AD__single.1e1a8cb4b57532ab38aa23287523659d,extended,00AD,single,,,,"DEAR, SIR, USD","DE­AR, SI­R, US­D"
00024.6b5437b14d403176c3f046c871b5b52f,00024__salted__extended__cp200B__single.6b5437b14d403176c3f046c871b5b52f,extended,200B,single,,,,"Fees, receive, receive","Fe​es, re​ceive, re​ceive"
00024.6b5437b14d403176c3f046c871b5b52f,00024__salted__extended__cp200C__single.6b5437b14d403176c3f046c871b5b52f,extended,200C,single,,,,"Fees, receive, receive","Fe‌es, re‌ceive, re‌ceive"
00024.6b5437b14d403176c3f046c871b5b52f,00024__salted__extended__cp200D__single.6b5437b14d403176c3f046c871b5b52f,extended,200D,single,,,,"Fees, receive, receive","Fe‍es, re‍ceive, re‍ceive"
00024.6b5437b14d403176c3f046c871b5b52f,00024__salted__extended__cp00AD__single.6b5437b14d403176c3f046c871b5b52f,extended,00AD,single,,,,"Fees, receive, receive","Fe­es, re­ceive, re­ceive"
00040.949a3d300eadb91d8745f1c1dab51133,00040__salted__extended__cp200B__single.949a3d300eadb91d8745f1c1dab51133,extended,200B,single,,,,"Dear, Sir, Madam","De​ar, Si​r, Ma​dam"
00040.949a3d300eadb91d8745f1c1dab51133,00040__salted__extended__cp200C__single.949a3d300eadb91d8745f1c1dab51133,extended,200C,single,,,,"Dear, Sir, Madam","De‌ar, Si‌r, Ma‌dam"
00040.949a3d300eadb91d8745f1c1dab51133,00040__salted__extended__cp200D__single.949a3d300eadb91d8745f1c1dab51133,extended,200D,single,,,,"Dear, Sir, Madam","De‍ar, Si‍r, Ma‍dam"
00040.949a3d300eadb91d8745f1c1dab51133,00040__salted__extended__cp00AD__single.949a3d300eadb91d8745f1c1dab51133,extended,00AD,single,,,,"Dear, Sir, Madam","De­ar, Si­r, Ma­dam"
00041.f1b3402799046db3c1f143a911dc085d,00041__salted__extended__cp200B__single.f1b3402799046db3c1f143a911dc085d,extended,200B,single,,,,"Dear, Sir, Madam","De​ar, Si​r, Ma​dam"
00041.f1b3402799046db3c1f143a911dc085d,00041__salted__extended__cp200C__single.f1b3402799046db3c1f143a911dc085d,extended,200C,single,,,,"Dear, Sir, Madam","De‌ar, Si‌r, Ma‌dam"
00041.f1b3402799046db3c1f143a911dc085d,00041__salted__extended__cp200D__single.f1b3402799046db3c1f143a911dc085d,extended,200D,single,,,,"Dear, Sir, Madam","De‍ar, Si‍r, Ma‍dam"
00041.f1b3402799046db3c1f143a911dc085d,00041__salted__extended__cp00AD__single.f1b3402799046db3c1f143a911dc085d,extended,00AD,single,,,,"Dear, Sir, Madam","De­ar, Si­r, Ma­dam"
00045.7282c2c4e009744f2f3450d370009235,00045__salted__extended__cp200B__single.7282c2c4e009744f2f3450d370009235,extended,200B,single,,,,Guaranteed,Gu​aranteed
00045.7282c2c4e009744f2f3450d370009235,00045__salted__extended__cp200C__single.7282c2c4e009744f2f3450d370009235,extended,200C,single,,,,Guaranteed,Gu‌aranteed
00045.7282c2c4e009744f2f3450d370009235,00045__salted__extended__cp200D__single.7282c2c4e009744f2f3450d370009235,extended,200D,single,,,,Guaranteed,Gu‍aranteed
00045.7282c2c4e009744f2f3450d370009235,00045__salted__extended__cp00AD__single.7282c2c4e009744f2f3450d370009235,extended,00AD,single,,,,Guaranteed,Gu­aranteed
00054.62863160db27f89df8c73275b6dae134,00054__salted__extended__cp200B__single.62863160db27f89df8c73275b6dae134,extended,200B,single,,ADV,AD​V,,
00054.62863160db27f89df8c73275b6dae134,00054__salted__extended__cp200C__single.62863160db27f89df8c73275b6dae134,extended,200C,single,,ADV,AD‌V,,
00054.62863160db27f89df8c73275b6dae134,00054__salted__extended__cp200D__single.62863160db27f89df8c73275b6dae134,extended,200D,single,,ADV,AD‍V,,
00054.62863160db27f89df8c73275b6dae134,00054__salted__extended__cp00AD__single.62863160db27f89df8c73275b6dae134,extended,00AD,single,,ADV,AD­V,,
00058.64bb1902c4e561fb3e521a6dbf8625be,00058__salted__extended__cp200B__single.64bb1902c4e561fb3e521a6dbf8625be,extended,200B,single,,Insurance,In​surance,,
