message_id;baseline_score;baseline_spam_flag;baseline_rule_count;baseline_action;n_variants;salted_score_mean;salted_score_min;salted_score_max;salted_rule_count_mean;salted_any_spam;salted_all_spam;salted_any_bypass;salted_all_bypass
00002.d94f1b97e48ed3b553b3508d116e6a09;-1.916105;False;15;no action;4;-1.9160214999999998;-1.916027;-1.916005;15;False;False;True;True
00003.2ee33bc6eacdb11f38d052c44819ba6c;0.035881;False;12;no action;4;0.036940249999999994;0.036916;0.037013;12;False;False;True;True
00009.1e1a8cb4b57532ab38aa23287523659d;13.039577;True;27;add header;4;13.039575;13.039575;13.039575;27;True;True;False;False
00040.949a3d300eadb91d8745f1c1dab51133;6.948311;True;24;add header;4;6.946816;6.946592;6.947488;24;True;True;False;False
00041.f1b3402799046db3c1f143a911dc085d;10.999878;True;22;add header;4;10.999878;10.999878;10.999878;22;True;True;False;False
00045.7282c2c4e009744f2f3450d370009235;2.776442;False;13;no action;4;2.7772115;2.777194;2.777264;13;False;False;True;True
00054.62863160db27f89df8c73275b6dae134;3.988334;False;18;no action;4;3.988334;3.988334;3.988334;18;False;False;True;True
00064.65b95365450ebe5eef61e7f1c60edc5e;8.999999;True;25;add header;4;8.999999;8.999999;8.999999;25;True;True;False;False
00067.ec108870b01dc3ccb8fabc5def869ca5;13.299999;True;26;add header;4;13.299999;13.299999;13.299999;26;True;True;False;False
00090.52630c4c07cd069c7bc7658c1a7a7253;5.499499;False;13;no action;4;5.49949925;5.499499;5.4995;13;False;False;True;True
00105.d8f25617befc5289aa4ed9602457050b;11.0;True;22;add header;4;11.0;11.0;11.0;22;True;True;False;False
00120.58579af867ff9a702cff23e7b8818a59;4.996626;False;13;no action;4;4.99662725;4.996627;4.996628;13;False;False;True;True
00127.3500d109361b544b0937523adb763588;7.499972;True;21;add header;4;7.499972;7.499972;7.499972;21;True;True;False;False
00160.cec5f611ae665ff0add6c4928d47f2be;8.886076;True;20;add header;4;8.8862805;8.8862;8.886522;20;True;True;False;False
00169.86268e75abd1bd4bda4d6c129681df34;3.981092;False;14;no action;4;3.9810805;3.981079;3.981085;14;False;False;True;True
00173.e10eb62e2c7808674c43d6a5e9e08a1c;8.8;True;23;add header;4;8.8;8.8;8.8;23;True;True;False;False
00179.ef2f7cf60806a96b59f4477b025580ee;8.998921;True;22;add header;4;8.496101249999999;8.496101;8.496102;21;True;True;False;False
00180.751cb63992e172566b3a296d970c425d;8.409876;True;17;add header;4;7.909555;7.909555;7.909555;16;True;True;False;False
00182.1b9ba0f95506a6f2bf256f40fad0687d;8.997645;True;19;add header;4;8.997645;8.997645;8.997645;19;True;True;False;False
00186.a66b4fc4ab114c9cb37e1a31d1ea1aeb;6.499997;True;14;add header;4;6.499997;6.499997;6.499997;14;True;True;False;False
00188.b12197b37ceb97fa0cd802566c1e08db;8.009816;True;17;add header;4;7.509337;7.509337;7.509337;16;True;True;False;False
00190.ee2ea200e7efa602221c6492f9d9d8c0;12.509796;True;19;add header;4;12.00926425;12.009264;12.009265;18;True;True;False;False
00191.9ff80a41f015b7a6c409732e41c0df07;7.910251;True;18;add header;4;7.910251;7.910251;7.910251;18;True;True;False;False
00196.dd21040c7757d477c967ae71b537810e;9.3;True;24;add header;4;9.3;9.3;9.3;24;True;True;False;False
00198.150ad975a44e356b479b88d8b57edc40;13.507047;True;19;add header;4;12.999338250000001;12.999338;12.999339;18;True;True;False;False
00207.0b71ac81a360455c1514f5872564b1e1;11.099986;True;19;add header;4;10.599951;10.599951;10.599951;18;True;True;False;False
00209.5276f967533f2ce0209c1eff631a86ff;6.49999;True;14;add header;4;6.49999;6.49999;6.49999;14;True;True;False;False
00211.4a52fb081c7087c4a82402342751e755;12.999947;True;19;add header;4;12.999947;12.999947;12.999947;19;True;True;False;False
00214.1367039e50dc6b7adb0f2aa8aba83216;5.499438;False;13;no action;4;5.499438;5.499438;5.499438;13;False;False;True;True
00217.43b4ef3d9c56cf42be9c37b546a19e78;16.0;True;26;reject;4;16.0;16.0;16.0;26;True;True;False;False
00224.0654fe0af51e1dcefa0eb66eb932f55f;11.824999;True;18;add header;4;8.399992;8.399992;8.399992;17;True;True;False;False
00228.cf58326ab05a757c7e759acc8d6b360d;6.564348;True;23;add header;4;6.563795000000001;6.563704;6.564068;23;True;True;False;False
00231.8c72952de376293bc38d30834c0bb580;8.3;True;19;add header;4;8.3;8.3;8.3;19;True;True;False;False
00233.3c32285387ebc0675adb029b9e20e581;6.499998;True;14;add header;4;6.499998;6.499998;6.499998;14;True;True;False;False
00236.a46588c69d43e80c618038b95eff2893;7.849971;True;17;add header;4;7.849971;7.849971;7.849971;17;True;True;False;False
00248.b243bca51ee69d6e428ca2f45f0fe41b;6.499189;True;14;add header;4;6.499189;6.499189;6.499189;14;True;True;False;False
00249.5f45607c1bffe89f60ba1ec9f878039a;8.999945;True;19;add header;4;8.999946;8.999946;8.999946;19;True;True;False;False
00251.6b4b7e79e1706156839a00817d774e37;11.3;True;25;add header;4;11.3;11.3;11.3;25;True;True;False;False
00261.12b64e557e52daf5fc5a52e47df2f4e3;9.0;True;17;add header;4;9.0;9.0;9.0;17;True;True;False;False
00263.32b258c4cc08d235b2ca36fc16074f08;19.999999;True;16;reject;4;25.249999;19.999999;26.999999;16.75;True;True;False;False
00264.02b614f34aa0d5970959123b9386b285;5.998842;False;18;no action;4;5.99884225;5.998842;5.998843;18;False;False;True;True
00279.1d58a13e343c1e53aca2ed2121a3f815;8.999922;True;20;add header;4;8.999922;8.999922;8.999922;20;True;True;False;False
00280.026da2bd191f11081b8d8428134b0c66;10.399809;True;26;add header;4;10.399809;10.399809;10.399809;26;True;True;False;False
00284.227c1ebb961320cd2086d904d698c49b;8.0;True;14;add header;4;8.0;8.0;8.0;14;True;True;False;False
00291.7aa227e74e89bdd529a3875459d0d5a2;6.499997;True;14;add header;4;6.499997;6.499997;6.499997;14;True;True;False;False
00292.dbf78a2aaa230d288eb80ab843804252;9.399988;True;26;add header;4;9.399988;9.399988;9.399988;26;True;True;False;False
00296.85aa16f800e0aaf8755cdf23d7e035ff;7.0;True;13;add header;4;7.0;7.0;7.0;13;True;True;False;False
00302.7f695c69d4cbe06e91cddd2ca7cddf33;10.499311;True;19;add header;4;10.499308249999999;10.499308;10.499309;19;True;True;False;False
00305.1f2a712e25638b0a4868155b37022cf1;14.8;True;24;add header;4;14.8;14.8;14.8;24;True;True;False;False
00305.f80c21904d6d4f6facd036450a588b0d;-1.88052;False;15;no action;4;-1.88121325;-1.881297;-1.880962;15;False;False;True;True
00308.fc90f8aab51648329b9e705c9021b204;7.0;True;13;add header;4;7.0;7.0;7.0;13;True;True;False;False
00312.5034fee7d265abd7a4194e9300de24bf;12.8;True;21;add header;4;12.8;12.8;12.8;21;True;True;False;False
00337.813498483bc80a24c002e6e7e8e0f2cb;8.758052;True;20;add header;4;8.7580515;8.75805;8.758056;20;True;True;False;False
00344.e6463530b23a12554d2e6f0e08ae10a7;3.550444;False;14;no action;4;3.5503489999999998;3.550309;3.550469;14;False;False;True;True
