message_id,strict_has_trigger,extended_has_trigger,broad_has_trigger,strict_subject_count,strict_body_count,extended_subject_count,extended_body_count,broad_subject_count,broad_body_count,is_candidate_strict,is_candidate_extended,is_candidate_broad
00001.317e78fa8ee2f54cd4890fdc09ba8176,True,True,True,1,11,1,15,1,25,True,True,True
00001.7848dde101aa985090474a91ec93fcf0,False,True,True,0,0,1,0,1,0,False,True,True
00002.9438920e9a55591b18e60d1ed37d992b,False,False,True,0,0,0,0,1,0,False,False,True
00003.590eff932f8704d8b0fcbe69d023b54d,False,False,False,0,0,0,0,0,0,False,False,False
00005.57696a39d7d84318ce497886896bf90d,True,True,True,1,1,1,1,2,5,True,True,True
00005.ed0aba4d386c5e62bc737cf3f0ed9589,False,False,True,0,0,0,0,2,0,False,False,True
00006.3ca1f399ccda5d897fecb8c57669a283,False,False,False,0,0,0,0,0,0,False,False,False
00006.5ab5620d3d7c6c0db76234556a16f6c1,True,True,True,0,1,0,3,2,14,True,True,True
00007.acefeee792b5298f8fee175f9f65c453,True,True,True,0,1,0,2,0,5,True,True,True
00007.d8521faf753ff9ee989122f6816f87d7,False,True,True,0,0,0,1,1,8,False,True,True
00008.dfd941deb10f5eed78b1594b131c9266,False,False,False,0,0,0,0,0,0,False,False,False
00009.027bf6e0b0c4ab34db3ce0ea4bf2edab,True,True,True,0,2,0,6,2,20,True,True,True
00010.2558d935f6439cb40d3acb8b8569aa9b,False,False,False,0,0,0,0,0,0,False,False,False
00010.445affef4c70feec58f9198cfbc22997,False,False,False,0,0,0,0,0,0,False,False,False
00011.61816b9ad167657773a427d890d0468e,True,True,True,0,5,0,6,0,11,True,True,True
00012.381e4f512915109ba1e0853a7a8407b2,False,False,False,0,0,0,0,0,0,False,False,False
00013.372ec9dc663418ca71f7d880a76f117a,False,True,True,0,0,0,5,0,14,False,True,True
00013.d3f0b591a65f116ea5d9d4ad919f83aa,True,True,True,0,1,0,1,0,5,True,True,True
00014.13574737e55e51fe6737a475b88b5052,True,True,True,0,4,0,5,0,10,True,True,True
00014.7d38c46424f24fc8012ac15a95a2ac14,False,False,True,0,0,0,0,1,0,False,False,True
00015.048434ab64c86cf890eda1326a5643f5,False,False,False,0,0,0,0,0,0,False,False,False
00015.206d5a5d1d34272ae32fc286788fdf55,True,True,True,0,2,0,6,1,16,True,True,True
00016.4fb07c8dff1a5a2b4889dc5024c55023,True,True,True,0,2,1,8,2,23,True,True,True
00016.67fb281761ca1051a22ec3f21917e7c0,True,True,True,0,1,0,4,0,15,True,True,True
00017.1a938ecddd047b93cbd7ed92c241e6d1,False,True,True,0,0,0,1,0,8,False,True,True
00017.6430f3b8dedf51ba3c3fcb9304e722e7,True,True,True,0,1,1,4,2,13,True,True,True
00018.336cb9e7b0358594cf002e7bf669eaf5,False,False,True,0,0,0,0,0,5,False,False,True
00018.5b2765c42b7648d41c93b9b27140b23a,True,True,True,0,1,0,6,0,25,True,True,True
00019.86ce6f6c2e9f4ae0415860fecdf055db,True,True,True,0,1,0,6,0,16,True,True,True
00019.bbc97ad616ffd06e93ce0f821ca8c381,True,True,True,1,1,2,3,4,9,True,True,True
00020.29725cf331fc21e18a1809e7d8b27332,True,True,True,0,1,0,1,0,5,True,True,True
