message_id,variant_filename,vocab_type,codepoint,salt_mode,fragment_max_positions,subject_original_tokens,subject_salted_tokens,body_original_tokens,body_salted_tokens
00001.317e78fa8ee2f54cd4890fdc09ba8176,00001__salted__broad__cp200B__single.317e78fa8ee2f54cd4890fdc09ba8176,broad,200B,single,,MLM,ML​M,"removal, marketing, MLM","re​moval, ma​rketing, ML​M"
00001.317e78fa8ee2f54cd4890fdc09ba8176,00001__salted__broad__cp200C__single.317e78fa8ee2f54cd4890fdc09ba8176,broad,200C,single,,MLM,ML‌M,"removal, marketing, MLM","re‌moval, ma‌rketing, ML‌M"
00001.317e78fa8ee2f54cd4890fdc09ba8176,00001__salted__broad__cp200D__single.317e78fa8ee2f54cd4890fdc09ba8176,broad,200D,single,,MLM,ML‍M,"removal, marketing, MLM","re‍moval, ma‍rketing, ML‍M"
00001.317e78fa8ee2f54cd4890fdc09ba8176,00001__salted__broad__cp00AD__single.317e78fa8ee2f54cd4890fdc09ba8176,broad,00AD,single,,MLM,ML­M,"removal, marketing, MLM","re­moval, ma­rketing, ML­M"
00001.7848dde101aa985090474a91ec93fcf0,00001__salted__broad__cp200B__single.7848dde101aa985090474a91ec93fcf0,broad,200B,single,,Insurance,In​surance,,
00001.7848dde101aa985090474a91ec93fcf0,00001__salted__broad__cp200C__single.7848dde101aa985090474a91ec93fcf0,broad,200C,single,,Insurance,In‌surance,,
00001.7848dde101aa985090474a91ec93fcf0,00001__salted__broad__cp200D__single.7848dde101aa985090474a91ec93fcf0,broad,200D,single,,Insurance,In‍surance,,
00001.7848dde101aa985090474a91ec93fcf0,00001__salted__broad__cp00AD__single.7848dde101aa985090474a91ec93fcf0,broad,00AD,single,,Insurance,In­surance,,
00002.9438920e9a55591b18e60d1ed37d992b,00002__salted__broad__cp200B__single.9438920e9a55591b18e60d1ed37d992b,broad,200B,single,,Shipping,Sh​ipping,,
00002.9438920e9a55591b18e60d1ed37d992b,00002__salted__broad__cp200C__single.9438920e9a55591b18e60d1ed37d992b,broad,200C,single,,Shipping,Sh‌ipping,,
