rule;lost_in_bypass_any;lost_in_bypass_all;bypass_loss_rate_any;bypass_loss_rate_all
DEAR_SOMETHING;7;7;0.318182;0.318182
ADVANCE_FEE_5_NEW_MONEY;5;5;0.227273;0.227273
PP_MIME_FAKE_ASCII_TEXT;3;3;0.136364;0.136364
ENGLISH_UCE_SUBJECT;3;3;0.136364;0.136364
SUBJECT_DIET;2;2;0.090909;0.090909
FSL_CTYPE_WIN1251;2;2;0.090909;0.090909
DEAR_FRIEND;2;2;0.090909;0.090909
T_MONEY_PERCENT;2;1;0.090909;0.045455
MSOE_MID_WRONG_CASE;2;1;0.090909;0.045455
XM_RANDOM	autolearn=disabled;1;1;0.045455;0.045455
TVD_SUBJ_WIPE_DEBT;1;1;0.045455;0.045455
TEQF_USR_POLITE	autolearn=disabled;1;1;0.045455;0.045455
NA_DOLLARS;1;1;0.045455;0.045455
MSOE_MID_WRONG_CASE	autolearn=disabled;1;1;0.045455;0.045455
MILLION_USD;1;1;0.045455;0.045455
HEADER_FROM_DIFFERENT_DOMAINS	autolearn=disabled;1;1;0.045455;0.045455
GUARANTEED_100_PERCENT;1;1;0.045455;0.045455
FROM_ILLEGAL_CHARS;1;1;0.045455;0.045455
BIGNUM_EMAILS_MANY;1;1;0.045455;0.045455
BANG_GUAR;1;1;0.045455;0.045455
