message_id,strict_has_trigger,extended_has_trigger,broad_has_trigger,strict_subject_count,strict_body_count,extended_subject_count,extended_body_count,broad_subject_count,broad_body_count,is_candidate_strict,is_candidate_extended,is_candidate_broad
00001.317e78fa8ee2f54cd4890fdc09ba8176,True,True,True,1,10,1,15,1,25,True,True,True
00001.7848dde101aa985090474a91ec93fcf0,False,True,True,0,0,1,0,1,0,False,True,True
00002.9438920e9a55591b18e60d1ed37d992b,False,False,True,0,0,0,0,1,0,False,False,True
00002.d94f1b97e48ed3b553b3508d116e6a09,True,True,True,1,1,1,1,2,5,True,True,True
00003.2ee33bc6eacdb11f38d052c44819ba6c,True,True,True,1,1,1,1,2,5,True,True,True
00004.eac8de8d759b7e74154f142194282724,True,True,True,0,1,1,8,2,44,True,True,True
00005.57696a39d7d84318ce497886896bf90d,True,True,True,1,1,1,1,2,5,True,True,True
00005.ed0aba4d386c5e62bc737cf3f0ed9589,False,False,True,0,0,0,0,1,0,False,False,True
00006.5ab5620d3d7c6c0db76234556a16f6c1,True,True,True,0,1,0,3,1,16,True,True,True
00007.acefeee792b5298f8fee175f9f65c453,False,True,True,0,0,0,2,0,5,False,True,True
00007.d8521faf753ff9ee989122f6816f87d7,False,True,True,0,0,0,1,1,9,False,True,True
00008.ccf927a6aec028f5472ca7b9db9eee20,True,True,True,0,4,0,7,0,73,True,True,True
00009.027bf6e0b0c4ab34db3ce0ea4bf2edab,True,True,True,0,1,0,6,1,24,True,True,True
00009.1e1a8cb4b57532ab38aa23287523659d,True,True,True,0,2,0,9,1,50,True,True,True
00011.61816b9ad167657773a427d890d0468e,True,True,True,0,3,0,4,0,11,True,True,True
00011.bd8c904d9f7b161a813d222230214d50,True,True,True,0,1,0,2,0,13,True,True,True
00012.cb9c9f2a25196f5b16512338625a85b4,True,True,True,0,9,0,18,1,39,True,True,True
00013.372ec9dc663418ca71f7d880a76f117a,False,True,True,0,0,0,4,0,12,False,True,True
00013.d3f0b591a65f116ea5d9d4ad919f83aa,True,True,True,0,1,0,1,0,5,True,True,True
00014.13574737e55e51fe6737a475b88b5052,True,True,True,0,3,0,4,0,10,True,True,True
00014.7d38c46424f24fc8012ac15a95a2ac14,False,False,True,0,0,0,0,1,0,False,False,True
00015.206d5a5d1d34272ae32fc286788fdf55,True,True,True,0,1,0,6,1,16,True,True,True
00016.4fb07c8dff1a5a2b4889dc5024c55023,True,True,True,0,2,1,7,2,24,True,True,True
00016.67fb281761ca1051a22ec3f21917e7c0,True,True,True,0,1,0,4,0,18,True,True,True
00017.1a938ecddd047b93cbd7ed92c241e6d1,False,True,True,0,0,0,1,0,9,False,True,True
00017.6430f3b8dedf51ba3c3fcb9304e722e7,False,True,True,0,0,1,3,2,13,False,True,True
00018.336cb9e7b0358594cf002e7bf669eaf5,False,False,True,0,0,0,0,0,5,False,False,True
00018.5b2765c42b7648d41c93b9b27140b23a,True,True,True,0,1,0,5,0,26,True,True,True
00019.86ce6f6c2e9f4ae0415860fecdf055db,True,True,True,0,1,0,4,0,16,True,True,True
00019.bbc97ad616ffd06e93ce0f821ca8c381,True,True,True,1,0,2,2,4,8,True,True,True
00020.29725cf331fc21e18a1809e7d8b27332,True,True,True,0,1,0,1,0,5,True,True,True
00020.7d36d16fd2be07c4f6a5616590cdea07,True,True,True,0,14,0,26,2,53,True,True,True
00021.07d9ab534bbfba9020145659008a3a14,True,True,True,0,1,0,4,0,9,True,True,True
00021.effe1449462a9d7ad7af0f1c94b1a237,True,True,True,0,2,0,7,0,29,True,True,True
00022.8203cdf03888f656dc0381701148f73d,True,True,True,0,5,0,10,0,36,True,True,True
00022.be66c630a142f0d862c2294a2d911ce1,True,True,True,0,1,0,1,1,6,True,True,True
00023.5bec0fc32cfc42c9cc5c941d94258567,True,True,True,1,0,1,0,2,0,True,True,True
00023.b6d27c684f5fc803cfa1060adb2d0805,True,True,True,1,0,1,0,1,0,True,True,True
00024.621bea2c6e0ebb2eb7ac00a38dfe6b00,True,True,True,0,3,0,5,0,26,True,True,True
00024.6b5437b14d403176c3f046c871b5b52f,False,True,True,0,0,0,5,0,12,False,True,True
00025.619ab8051359048795e3cd09e82ad1a0,False,False,True,0,0,0,0,1,0,False,False,True
00025.9054470cb5193db2955a4d4a003698d6,True,True,True,0,3,0,5,1,26,True,True,True
00026.c62c9f08db4ee1b99626dbae575008fe,True,True,True,0,2,0,4,0,25,True,True,True
00026.da18dbed27ae933172f7a70f860c6ad0,True,True,True,0,1,0,5,0,26,True,True,True
00027.d1d0f97e096fe08fc80a4939355759e7,True,True,True,0,1,0,1,0,5,True,True,True
