rule;lost_in_bypass_any;lost_in_bypass_all;bypass_loss_rate_any;bypass_loss_rate_all
DEAR_SOMETHING;8;8;0.347826;0.347826
MSOE_MID_WRONG_CASE;6;3;0.26087;0.130435
EXCUSE_REMOVE;4;4;0.173913;0.173913
ENGLISH_UCE_SUBJECT;4;4;0.173913;0.173913
END_FUTURE_EMAILS;4;4;0.173913;0.173913
PP_MIME_FAKE_ASCII_TEXT;3;3;0.130435;0.130435
ADVANCE_FEE_5_NEW_MONEY;3;3;0.130435;0.130435
T_MONEY_PERCENT;2;2;0.086957;0.086957
THIS_AD;2;2;0.086957;0.086957
MSOE_MID_WRONG_CASE	autolearn=disabled;2;2;0.086957;0.086957
GUARANTEED_100_PERCENT;2;2;0.086957;0.086957
FSL_CTYPE_WIN1251;2;2;0.086957;0.086957
XM_RANDOM	autolearn=disabled;1;1;0.043478;0.043478
TEQF_USR_POLITE	autolearn=disabled;1;1;0.043478;0.043478
NA_DOLLARS;1;1;0.043478;0.043478
MILLION_USD;1;1;0.043478;0.043478
FROM_ILLEGAL_CHARS;1;1;0.043478;0.043478
EXCUSE_24;1;1;0.043478;0.043478
BANG_GUAR;1;1;0.043478;0.043478
HEADER_FROM_DIFFERENT_DOMAINS	autolearn=disabled;1;0;0.043478;0.0
