rule;baseline_occurrences;lost_in_any_variant;lost_in_all_variants;lost_rate_any_variant;lost_rate_all_variants
ENGLISH_UCE_SUBJECT;51;51;51;1.0;1.0
ENGLISH_UCE_SUBJECT	autolearn=disabled;20;20;20;1.0;1.0
PP_MIME_FAKE_ASCII_TEXT;16;16;16;1.0;1.0
FSL_CTYPE_WIN1251;3;3;3;1.0;1.0
NAME_EMAIL_DIFF	autolearn=disabled;2;2;2;1.0;1.0
FROM_ILLEGAL_CHARS;2;2;2;1.0;1.0
T_OBFU_DOC_ATTACH;1;1;1;1.0;1.0
TEQF_USR_POLITE	autolearn=disabled;1;1;1;1.0;1.0
SUBJ_ILLEGAL_CHARS;1;1;1;1.0;1.0
ONE_TIME	autolearn=disabled;1;1;1;1.0;1.0
FIN_FREE	autolearn=disabled;1;1;1;1.0;1.0
UNCLAIMED_MONEY	autolearn=disabled;2;2;1;1.0;0.5
LOW_PRICE	autolearn=disabled;3;3;0;1.0;0.0
UNDISC_FREEM	autolearn=disabled;1;1;0;1.0;0.0
DEAR_SOMETHING;49;38;37;0.77551;0.755102
PP_MIME_FAKE_ASCII_TEXT	autolearn=disabled;4;3;3;0.75;0.75
DEAR_SOMETHING	autolearn=disabled;4;3;3;0.75;0.75
FREE_QUOTE_INSTANT;24;17;17;0.708333;0.708333
T_TVD_MIME_NO_HEADERS;3;2;2;0.666667;0.666667
DRUG_ED_CAPS;15;9;9;0.6;0.6
DRUG_ED_ONLINE	autolearn=disabled;5;3;3;0.6;0.6
DRUG_ED_ONLINE;5;3;3;0.6;0.6
EXCUSE_REMOVE;22;13;13;0.590909;0.590909
ADVANCE_FEE_4_NEW_MONEY;8;4;4;0.5;0.5
THIS_AD	autolearn=disabled;6;3;3;0.5;0.5
TVD_RCVD_IP4	autolearn=disabled;2;1;1;0.5;0.5
EXCUSE_REMOVE	autolearn=disabled;5;2;2;0.4;0.4
THIS_AD;18;6;6;0.333333;0.333333
XM_RANDOM	autolearn=disabled;3;1;1;0.333333;0.333333
NO_PRESCRIPTION;3;1;1;0.333333;0.333333
MSOE_MID_WRONG_CASE	autolearn=disabled;34;11;3;0.323529;0.088235
MIXED_HREF_CASE	autolearn=disabled;14;4;2;0.285714;0.142857
BANG_GUAR;68;19;19;0.279412;0.279412
END_FUTURE_EMAILS;67;18;18;0.268657;0.268657
EXCUSE_24;20;5;5;0.25;0.25
T_MONEY_PERCENT	autolearn=disabled;12;3;3;0.25;0.25
T_TVD_MIME_EPI	autolearn=disabled;10;2;1;0.2;0.1
WEIRD_QUOTING	autolearn=disabled;5;1;0;0.2;0.0
TEQF_USR_POLITE;6;1;1;0.166667;0.166667
T_KAM_HTML_FONT_INVALID	autolearn=disabled;6;1;0;0.166667;0.0
T_TVD_MIME_EPI;19;3;0;0.157895;0.0
T_MONEY_PERCENT;40;6;6;0.15;0.15
SUBJECT_DIET;8;1;1;0.125;0.125
GUARANTEED_100_PERCENT;35;4;3;0.114286;0.085714
MONEY_BACK;10;1;1;0.1;0.1
END_FUTURE_EMAILS	autolearn=disabled;10;1;0;0.1;0.0
HK_RANDOM_REPLYTO;11;1;1;0.090909;0.090909
LOTS_OF_MONEY;193;15;15;0.07772;0.07772
T_KAM_HTML_FONT_INVALID;13;1;1;0.076923;0.076923
MSOE_MID_WRONG_CASE;105;8;5;0.07619;0.047619
ADVANCE_FEE_5_NEW_MONEY;68;5;4;0.073529;0.058824
HEADER_FROM_DIFFERENT_DOMAINS;177;12;11;0.067797;0.062147
LOW_PRICE;30;2;1;0.066667;0.033333
MIXED_HREF_CASE;38;2;1;0.052632;0.026316
NA_DOLLARS;21;1;1;0.047619;0.047619
HEADER_FROM_DIFFERENT_DOMAINS	autolearn=disabled;66;2;0;0.030303;0.0
MILLION_USD;38;1;1;0.026316;0.026316
LOTS_OF_MONEY	autolearn=disabled;41;1;1;0.02439;0.02439
