rule;lost_in_bypass_any;lost_in_bypass_all;bypass_loss_rate_any;bypass_loss_rate_all
EXCUSE_REMOVE;4;4;0.25;0.25
ENGLISH_UCE_SUBJECT;4;4;0.25;0.25
END_FUTURE_EMAILS;4;4;0.25;0.25
BANG_GUAR;3;3;0.1875;0.1875
PP_MIME_FAKE_ASCII_TEXT;2;2;0.125;0.125
MSOE_MID_WRONG_CASE	autolearn=disabled;2;2;0.125;0.125
MSOE_MID_WRONG_CASE;2;2;0.125;0.125
GUARANTEED_100_PERCENT;2;2;0.125;0.125
THIS_AD	autolearn=disabled;1;1;0.0625;0.0625
THIS_AD;1;1;0.0625;0.0625
TEQF_USR_POLITE	autolearn=disabled;1;1;0.0625;0.0625
MILLION_USD;1;1;0.0625;0.0625
LOTS_OF_MONEY;1;1;0.0625;0.0625
HEADER_FROM_DIFFERENT_DOMAINS	autolearn=disabled;1;1;0.0625;0.0625
FSL_CTYPE_WIN1251;1;1;0.0625;0.0625
