rule;baseline_occurrences;lost_in_any_variant;lost_in_all_variants;lost_rate_any_variant;lost_rate_all_variants
ENGLISH_UCE_SUBJECT;51;51;51;1.0;1.0
ENGLISH_UCE_SUBJECT	autolearn=disabled;20;20;20;1.0;1.0
FREE_QUOTE_INSTANT;17;17;17;1.0;1.0
PP_MIME_FAKE_ASCII_TEXT;12;12;12;1.0;1.0
NAME_EMAIL_DIFF	autolearn=disabled;2;2;2;1.0;1.0
FSL_CTYPE_WIN1251;2;2;2;1.0;1.0
EXCUSE_REMOVE	autolearn=disabled;2;2;2;1.0;1.0
TEQF_USR_POLITE	autolearn=disabled;1;1;1;1.0;1.0
ONE_TIME	autolearn=disabled;1;1;1;1.0;1.0
GB_CUSTOM_HTM_URI;1;1;1;1.0;1.0
FIN_FREE	autolearn=disabled;1;1;1;1.0;1.0
EXCUSE_REMOVE;19;13;13;0.684211;0.684211
TVD_RCVD_IP4	autolearn=disabled;2;1;1;0.5;0.5
BODY_ENHANCEMENT;11;5;5;0.454545;0.454545
BANG_GUAR;66;27;27;0.409091;0.409091
END_FUTURE_EMAILS;57;21;21;0.368421;0.368421
GUARANTEED_100_PERCENT;33;11;11;0.333333;0.333333
DRUG_ED_ONLINE;3;1;1;0.333333;0.333333
THIS_AD;17;5;5;0.294118;0.294118
MIXED_HREF_CASE	autolearn=disabled;8;2;2;0.25;0.25
ADVANCE_FEE_4_NEW_MONEY;8;2;2;0.25;0.25
MONEY_BACK;5;1;1;0.2;0.2
THIS_AD	autolearn=disabled;6;1;1;0.166667;0.166667
SUBJECT_DIET;6;1;1;0.166667;0.166667
MSOE_MID_WRONG_CASE	autolearn=disabled;21;3;3;0.142857;0.142857
END_FUTURE_EMAILS	autolearn=disabled;7;1;1;0.142857;0.142857
T_KAM_HTML_FONT_INVALID;8;1;1;0.125;0.125
LOTS_OF_MONEY;160;19;19;0.11875;0.11875
T_TVD_MIME_EPI	autolearn=disabled;9;1;1;0.111111;0.111111
T_MONEY_PERCENT;37;4;4;0.108108;0.108108
ADVANCE_FEE_5_NEW_MONEY;64;6;5;0.09375;0.078125
T_MONEY_PERCENT	autolearn=disabled;11;1;1;0.090909;0.090909
HK_RANDOM_REPLYTO;11;1;1;0.090909;0.090909
MIXED_HREF_CASE;26;2;2;0.076923;0.076923
HEADER_FROM_DIFFERENT_DOMAINS	autolearn=disabled;47;3;3;0.06383;0.06383
HEADER_FROM_DIFFERENT_DOMAINS;124;7;7;0.056452;0.056452
LOW_PRICE;24;1;1;0.041667;0.041667
LOTS_OF_MONEY	autolearn=disabled;34;1;1;0.029412;0.029412
MILLION_USD;37;1;1;0.027027;0.027027
DEAR_SOMETHING;38;1;1;0.026316;0.026316
MSOE_MID_WRONG_CASE;79;2;2;0.025316;0.025316
