message_id,variant_filename,vocab_type,codepoint,salt_mode,fragment_max_positions,subject_original_tokens,subject_salted_tokens,body_original_tokens,body_salted_tokens
00001.317e78fa8ee2f54cd4890fdc09ba8176,00001__salted__strict__cp200B__single.317e78fa8ee2f54cd4890fdc09ba8176,strict,200B,single,,MLM,ML​M,"MLM, MLM, MLM","ML​M, ML​M, ML​M"
00001.317e78fa8ee2f54cd4890fdc09ba8176,00001__salted__strict__cp200C__single.317e78fa8ee2f54cd4890fdc09ba8176,strict,200C,single,,MLM,ML‌M,"MLM, MLM, MLM","ML‌M, ML‌M, ML‌M"
00001.317e78fa8ee2f54cd4890fdc09ba8176,00001__salted__strict__cp200D__single.317e78fa8ee2f54cd4890fdc09ba8176,strict,200D,single,,MLM,ML‍M,"MLM, MLM, MLM","ML‍M, ML‍M, ML‍M"
00001.317e78fa8ee2f54cd4890fdc09ba8176,00001__salted__strict__cp00AD__single.317e78fa8ee2f54cd4890fdc09ba8176,strict,00AD,single,,MLM,ML­M,"MLM, MLM, MLM","ML­M, ML­M, ML­M"
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__strict__cp200B__single.d94f1b97e48ed3b553b3508d116e6a09,strict,200B,single,,Guaranteed,Gu​aranteed,Guaranteed,Gu​aranteed
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__strict__cp200C__single.d94f1b97e48ed3b553b3508d116e6a09,strict,200C,single,,Guaranteed,Gu‌aranteed,Guaranteed,Gu‌aranteed
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__strict__cp200D__single.d94f1b97e48ed3b553b3508d116e6a09,strict,200D,single,,Guaranteed,Gu‍aranteed,Guaranteed,Gu‍aranteed
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__strict__cp00AD__single.d94f1b97e48ed3b553b3508d116e6a09,strict,00AD,single,,Guaranteed,Gu­aranteed,Guaranteed,Gu­aranteed
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__strict__cp200B__single.2ee33bc6eacdb11f38d052c44819ba6c,strict,200B,single,,Guaranteed,Gu​aranteed,Guaranteed,Gu​aranteed
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__strict__cp200C__single.2ee33bc6eacdb11f38d052c44819ba6c,strict,200C,single,,Guaranteed,Gu‌aranteed,Guaranteed,Gu‌aranteed
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__strict__cp200D__single.2ee33bc6eacdb11f38d052c44819ba6c,strict,200D,single,,Guaranteed,Gu‍aranteed,Guaranteed,Gu‍aranteed
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__strict__cp00AD__single.2ee33bc6eacdb11f38d052c44819ba6c,strict,00AD,single,,Guaranteed,Gu­aranteed,Guaranteed,Gu­aranteed
00004.eac8de8d759b7e74154f142194282724,00004__salted__strict__cp200B__single.eac8de8d759b7e74154f142194282724,strict,200B,single,,,,specials,sp​ecials
00004.eac8de8d759b7e74154f142194282724,00004__salted__strict__cp200C__single.eac8de8d759b7e74154f142194282724,strict,200C,single,,,,specials,sp‌ecials
00004.eac8de8d759b7e74154f142194282724,00004__salted__strict__cp200D__single.eac8de8d759b7e74154f142194282724,strict,200D,single,,,,specials,sp‍ecials
00004.eac8de8d759b7e74154f142194282724,00004__salted__strict__cp00AD__single.eac8de8d759b7e74154f142194282724,strict,00AD,single,,,,specials,sp­ecials
00005.57696a39d7d84318ce497886896bf90d,00005__salted__strict__cp200B__single.57696a39d7d84318ce497886896bf90d,strict,200B,single,,Guaranteed,Gu​aranteed,Guaranteed,Gu​aranteed
00005.57696a39d7d84318ce497886896bf90d,00005__salted__strict__cp200C__single.57696a39d7d84318ce497886896bf90d,strict,200C,single,,Guaranteed,Gu‌aranteed,Guaranteed,Gu‌aranteed
00005.57696a39d7d84318ce497886896bf90d,00005__salted__strict__cp200D__single.57696a39d7d84318ce497886896bf90d,strict,200D,single,,Guaranteed,Gu‍aranteed,Guaranteed,Gu‍aranteed
00005.57696a39d7d84318ce497886896bf90d,00005__salted__strict__cp00AD__single.57696a39d7d84318ce497886896bf90d,strict,00AD,single,,Guaranteed,Gu­aranteed,Guaranteed,Gu­aranteed
00006.5ab5620d3d7c6c0db76234556a16f6c1,00006__salted__strict__cp200B__single.5ab5620d3d7c6c0db76234556a16f6c1,strict,200B,single,,,,Testimonials,Te​stimonials
00006.5ab5620d3d7c6c0db76234556a16f6c1,00006__salted__strict__cp200C__single.5ab5620d3d7c6c0db76234556a16f6c1,strict,200C,single,,,,Testimonials,Te‌stimonials
00006.5ab5620d3d7c6c0db76234556a16f6c1,00006__salted__strict__cp200D__single.5ab5620d3d7c6c0db76234556a16f6c1,strict,200D,single,,,,Testimonials,Te‍stimonials
00006.5ab5620d3d7c6c0db76234556a16f6c1,00006__salted__strict__cp00AD__single.5ab5620d3d7c6c0db76234556a16f6c1,strict,00AD,single,,,,Testimonials,Te­stimonials
00009.027bf6e0b0c4ab34db3ce0ea4bf2edab,00009__salted__strict__cp200B__single.027bf6e0b0c4ab34db3ce0ea4bf2edab,strict,200B,single,,,,Testimonials,Te​stimonials
00009.027bf6e0b0c4ab34db3ce0ea4bf2edab,00009__salted__strict__cp200C__single.027bf6e0b0c4ab34db3ce0ea4bf2edab,strict,200C,single,,,,Testimonials,Te‌stimonials
00009.027bf6e0b0c4ab34db3ce0ea4bf2edab,00009__salted__strict__cp200D__single.027bf6e0b0c4ab34db3ce0ea4bf2edab,strict,200D,single,,,,Testimonials,Te‍stimonials
00009.027bf6e0b0c4ab34db3ce0ea4bf2edab,00009__salted__strict__cp00AD__single.027bf6e0b0c4ab34db3ce0ea4bf2edab,strict,00AD,single,,,,Testimonials,Te­stimonials
00009.1e1a8cb4b57532ab38aa23287523659d,00009__salted__strict__cp200B__single.1e1a8cb4b57532ab38aa23287523659d,strict,200B,single,,,,"USD, ASSISTANCE","US​D, AS​SISTANCE"
00009.1e1a8cb4b57532ab38aa23287523659d,00009__salted__strict__cp200C__single.1e1a8cb4b57532ab38aa23287523659d,strict,200C,single,,,,"USD, ASSISTANCE","US‌D, AS‌SISTANCE"
00009.1e1a8cb4b57532ab38aa23287523659d,00009__salted__strict__cp200D__single.1e1a8cb4b57532ab38aa23287523659d,strict,200D,single,,,,"USD, ASSISTANCE","US‍D, AS‍SISTANCE"
00009.1e1a8cb4b57532ab38aa23287523659d,00009__salted__strict__cp00AD__single.1e1a8cb4b57532ab38aa23287523659d,strict,00AD,single,,,,"USD, ASSISTANCE","US­D, AS­SISTANCE"
00011.61816b9ad167657773a427d890d0468e,00011__salted__strict__cp200B__single.61816b9ad167657773a427d890d0468e,strict,200B,single,,,,"Assistance, mailings, btamail","As​sistance, ma​ilings, bt​amail"
00011.61816b9ad167657773a427d890d0468e,00011__salted__strict__cp200C__single.61816b9ad167657773a427d890d0468e,strict,200C,single,,,,"Assistance, mailings, btamail","As‌sistance, ma‌ilings, bt‌amail"
00011.61816b9ad167657773a427d890d0468e,00011__salted__strict__cp200D__single.61816b9ad167657773a427d890d0468e,strict,200D,single,,,,"Assistance, mailings, btamail","As‍sistance, ma‍ilings, bt‍amail"
00011.61816b9ad167657773a427d890d0468e,00011__salted__strict__cp00AD__single.61816b9ad167657773a427d890d0468e,strict,00AD,single,,,,"Assistance, mailings, btamail","As­sistance, ma­ilings, bt­amail"
00013.d3f0b591a65f116ea5d9d4ad919f83aa,00013__salted__strict__cp200B__single.d3f0b591a65f116ea5d9d4ad919f83aa,strict,200B,single,,,,Guaranteed,Gu​aranteed
00013.d3f0b591a65f116ea5d9d4ad919f83aa,00013__salted__strict__cp200C__single.d3f0b591a65f116ea5d9d4ad919f83aa,strict,200C,single,,,,Guaranteed,Gu‌aranteed
00013.d3f0b591a65f116ea5d9d4ad919f83aa,00013__salted__strict__cp200D__single.d3f0b591a65f116ea5d9d4ad919f83aa,strict,200D,single,,,,Guaranteed,Gu‍aranteed
00013.d3f0b591a65f116ea5d9d4ad919f83aa,00013__salted__strict__cp00AD__single.d3f0b591a65f116ea5d9d4ad919f83aa,strict,00AD,single,,,,Guaranteed,Gu­aranteed
00014.13574737e55e51fe6737a475b88b5052,00014__salted__strict__cp200B__single.13574737e55e51fe6737a475b88b5052,strict,200B,single,,,,"Assistance, mailings, btamail","As​sistance, ma​ilings, bt​amail"
00014.13574737e55e51fe6737a475b88b5052,00014__salted__strict__cp200C__single.13574737e55e51fe6737a475b88b5052,strict,200C,single,,,,"Assistance, mailings, btamail","As‌sistance, ma‌ilings, bt‌amail"
00014.13574737e55e51fe6737a475b88b5052,00014__salted__strict__cp200D__single.13574737e55e51fe6737a475b88b5052,strict,200D,single,,,,"Assistance, mailings, btamail","As‍sistance, ma‍ilings, bt‍amail"
00014.13574737e55e51fe6737a475b88b5052,00014__salted__strict__cp00AD__single.13574737e55e51fe6737a475b88b5052,strict,00AD,single,,,,"Assistance, mailings, btamail","As­sistance, ma­ilings, bt­amail"
00018.5b2765c42b7648d41c93b9b27140b23a,00018__salted__strict__cp200B__single.5b2765c42b7648d41c93b9b27140b23a,strict,200B,single,,,,CONFIDENTIALITY,CO​NFIDENTIALITY
00018.5b2765c42b7648d41c93b9b27140b23a,00018__salted__strict__cp200C__single.5b2765c42b7648d41c93b9b27140b23a,strict,200C,single,,,,CONFIDENTIALITY,CO‌NFIDENTIALITY
00018.5b2765c42b7648d41c93b9b27140b23a,00018__salted__strict__cp200D__single.5b2765c42b7648d41c93b9b27140b23a,strict,200D,single,,,,CONFIDENTIALITY,CO‍NFIDENTIALITY
00018.5b2765c42b7648d41c93b9b27140b23a,00018__salted__strict__cp00AD__single.5b2765c42b7648d41c93b9b27140b23a,strict,00AD,single,,,,CONFIDENTIALITY,CO­NFIDENTIALITY
00019.bbc97ad616ffd06e93ce0f821ca8c381,00019__salted__strict__cp200B__single.bbc97ad616ffd06e93ce0f821ca8c381,strict,200B,single,,ADV,AD​V,,
00019.bbc97ad616ffd06e93ce0f821ca8c381,00019__salted__strict__cp200C__single.bbc97ad616ffd06e93ce0f821ca8c381,strict,200C,single,,ADV,AD‌V,,
