message_id,strict_has_trigger,extended_has_trigger,broad_has_trigger,strict_subject_count,strict_body_count,extended_subject_count,extended_body_count,broad_subject_count,broad_body_count,is_candidate_strict,is_candidate_extended,is_candidate_broad
00001.317e78fa8ee2f54cd4890fdc09ba8176,True,True,True,1,10,1,15,1,25,True,True,True
00002.d94f1b97e48ed3b553b3508d116e6a09,True,True,True,1,1,1,1,2,5,True,True,True
00003.2ee33bc6eacdb11f38d052c44819ba6c,True,True,True,1,1,1,1,2,5,True,True,True
00004.eac8de8d759b7e74154f142194282724,True,True,True,0,1,1,8,2,44,True,True,True
00005.57696a39d7d84318ce497886896bf90d,True,True,True,1,1,1,1,2,5,True,True,True
00006.5ab5620d3d7c6c0db76234556a16f6c1,True,True,True,0,1,0,3,1,16,True,True,True
00008.ccf927a6aec028f5472ca7b9db9eee20,True,True,True,0,4,0,7,0,73,True,True,True
00009.027bf6e0b0c4ab34db3ce0ea4bf2edab,True,True,True,0,1,0,6,1,24,True,True,True
00009.1e1a8cb4b57532ab38aa23287523659d,True,True,True,0,2,0,9,1,50,True,True,True
00011.61816b9ad167657773a427d890d0468e,True,True,True,0,3,0,4,0,11,True,True,True
00011.bd8c904d9f7b161a813d222230214d50,True,True,True,0,1,0,2,0,13,True,True,True
00012.cb9c9f2a25196f5b16512338625a85b4,True,True,True,0,9,0,18,1,39,True,True,True
00013.d3f0b591a65f116ea5d9d4ad919f83aa,True,True,True,0,1,0,1,0,5,True,True,True
00014.13574737e55e51fe6737a475b88b5052,True,True,True,0,3,0,4,0,10,True,True,True
00015.206d5a5d1d34272ae32fc286788fdf55,True,True,True,0,1,0,6,1,16,True,True,True
00016.4fb07c8dff1a5a2b4889dc5024c55023,True,True,True,0,2,1,7,2,24,True,True,True
00016.67fb281761ca1051a22ec3f21917e7c0,True,True,True,0,1,0,4,0,18,True,True,True
00018.5b2765c42b7648d41c93b9b27140b23a,True,True,True,0,1,0,5,0,26,True,True,True
