rule;baseline_occurrences;lost_in_any_variant;lost_in_all_variants;lost_rate_any_variant;lost_rate_all_variants
DEAR_SOMETHING;15;15;15;1.0;1.0
ENGLISH_UCE_SUBJECT;10;10;10;1.0;1.0
CTE_8BIT_MISMATCH;6;6;6;1.0;1.0
TO_NO_BRKTS_MSFT	autolearn=disabled;3;3;3;1.0;1.0
DRUG_ED_ONLINE;3;3;3;1.0;1.0
TVD_APPROVED;2;2;2;1.0;1.0
MONEY_BACK;2;2;2;1.0;1.0
MIME_BASE64_TEXT;2;2;2;1.0;1.0
WEIRD_QUOTING	autolearn=disabled;1;1;1;1.0;1.0
UPPERCASE_50_75	autolearn=disabled;1;1;1;1.0;1.0
T_OBFU_DOC_ATTACH;1;1;1;1.0;1.0
THIS_AD	autolearn=disabled;1;1;1;1.0;1.0
LOTS_OF_MONEY	autolearn=disabled;1;1;1;1.0;1.0
FSL_CTYPE_WIN1251;1;1;1;1.0;1.0
FROM_ILLEGAL_CHARS;1;1;1;1.0;1.0
DEAR_FRIEND;1;1;1;1.0;1.0
ADVANCE_FEE_4_NEW_MONEY;1;1;1;1.0;1.0
RATWARE_MS_HASH	autolearn=disabled;1;1;0;1.0;0.0
XPRIO;13;9;9;0.692308;0.692308
PP_MIME_FAKE_ASCII_TEXT;6;4;4;0.666667;0.666667
MSOE_MID_WRONG_CASE	autolearn=disabled;3;2;1;0.666667;0.333333
TO_NO_BRKTS_MSFT;23;15;15;0.652174;0.652174
XPRIO	autolearn=disabled;5;3;3;0.6;0.6
URG_BIZ;10;5;5;0.5;0.5
WEIRD_QUOTING;2;1;1;0.5;0.5
T_MONEY_PERCENT	autolearn=disabled;2;1;1;0.5;0.5
RCVD_FAKE_HELO_DOTCOM	autolearn=disabled;2;1;1;0.5;0.5
BAD_CREDIT;10;3;3;0.3;0.3
MIME_QP_LONG_LINE;11;3;3;0.272727;0.272727
WEIRD_PORT;8;2;2;0.25;0.25
T_FILL_THIS_FORM_SHORT;16;4;2;0.25;0.125
LOW_PRICE;10;2;2;0.2;0.2
SUBJECT_DIET;5;1;1;0.2;0.2
T_TVD_MIME_EPI;5;1;0;0.2;0.0
T_KAM_HTML_FONT_INVALID;6;1;1;0.166667;0.166667
ADVANCE_FEE_5_NEW_MONEY;13;2;2;0.153846;0.153846
T_MONEY_PERCENT;7;1;1;0.142857;0.142857
MONEY_FRAUD_8;7;1;1;0.142857;0.142857
FIN_FREE;7;1;1;0.142857;0.142857
SPOOFED_FREEM_REPTO;15;2;2;0.133333;0.133333
RDNS_DYNAMIC;15;2;2;0.133333;0.133333
T_REMOTE_IMAGE;8;1;0;0.125;0.0
T_FILL_THIS_FORM_SHORT	autolearn=disabled;12;1;1;0.083333;0.083333
SUSPICIOUS_RECIPS;16;1;0;0.0625;0.0
MAILING_LIST_MULTI;40;2;1;0.05;0.025
RDNS_NONE;105;4;4;0.038095;0.038095
SPOOFED_FREEMAIL_NO_RDNS;67;2;1;0.029851;0.014925
MSGID_FROM_MTA_HEADER;38;1;0;0.026316;0.0
LOTS_OF_MONEY;44;1;1;0.022727;0.022727
