message_id;baseline_score;baseline_spam_flag;baseline_rule_count;n_variants;salted_score_mean;salted_score_min;salted_score_max;salted_rule_count_mean;salted_any_spam;salted_all_spam;salted_any_bypass;salted_all_bypass
00002.d94f1b97e48ed3b553b3508d116e6a09;0.8;False;3;4;0.8;0.8;0.8;3;False;False;True;True
00003.2ee33bc6eacdb11f38d052c44819ba6c;3.0;False;3;4;3.0;3.0;3.0;3;False;False;True;True
00004.eac8de8d759b7e74154f142194282724;10.3;True;12;4;9.3;9.3;9.3;11;True;True;False;False
00009.1e1a8cb4b57532ab38aa23287523659d;20.1;True;23;4;18.4;18.4;18.4;21.75;True;True;False;False
00024.6b5437b14d403176c3f046c871b5b52f;1.4;False;8;4;1.4;1.4;1.4;8;False;False;True;True
00040.949a3d300eadb91d8745f1c1dab51133;11.0;True;10;4;9.3;9.3;9.3;9.75;True;True;False;False
00041.f1b3402799046db3c1f143a911dc085d;18.9;True;12;4;17.175;17.1;17.2;11.75;True;True;False;False
00045.7282c2c4e009744f2f3450d370009235;1.3;False;1;4;1.3;1.3;1.3;1;False;False;True;True
00054.62863160db27f89df8c73275b6dae134;6.6;True;4;4;5.0;5.0;5.0;3;True;True;False;False
00058.64bb1902c4e561fb3e521a6dbf8625be;12.1;True;14;4;12.1;12.1;12.1;14;True;True;False;False
00064.65b95365450ebe5eef61e7f1c60edc5e;10.5;True;5;4;10.5;10.5;10.5;5;True;True;False;False
00067.ec108870b01dc3ccb8fabc5def869ca5;13.6;True;17;4;13.6;13.6;13.6;17;True;True;False;False
00090.52630c4c07cd069c7bc7658c1a7a7253;1.4;False;8;4;1.4;1.4;1.4;8;False;False;True;True
00105.d8f25617befc5289aa4ed9602457050b;14.9;True;12;4;14.9;14.9;14.9;12;True;True;False;False
00115.c97af50ef7ccd816f95bbdc6f4d226b2;7.5;True;7;4;7.5;7.5;7.5;7;True;True;False;False
00120.58579af867ff9a702cff23e7b8818a59;2.9;False;8;4;2.9;2.9;2.9;8;False;False;True;True
00127.3500d109361b544b0937523adb763588;4.7;False;6;4;5.45;4.7;5.7;6.75;True;False;True;False
00128.721b6b20d5834d490662e2ae8c5c0684;10.5;True;10;4;10.5;10.5;10.5;10;True;True;False;False
00153.6a5ffe584834ea334041ab958cadcadb;5.4;True;4;4;6.15;5.4;6.4;4.75;True;True;False;False
