message_id,variant_filename,vocab_type,codepoint,salt_mode,fragment_max_positions,n_insert_subject,n_insert_body,body_part_found,subject_targets,body_targets
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__strict__cp200B__fragment.d94f1b97e48ed3b553b3508d116e6a09,strict,200B,fragment,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""G​u​a​r​a​n​t​e​e​d"", ""start"": 7, ""end"": 17, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""G​u​a​r​a​n​t​e​e​d"", ""start"": 87, ""end"": 97, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__strict__cp200C__fragment.d94f1b97e48ed3b553b3508d116e6a09,strict,200C,fragment,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""G‌u‌a‌r‌a‌n‌t‌e‌e‌d"", ""start"": 7, ""end"": 17, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""G‌u‌a‌r‌a‌n‌t‌e‌e‌d"", ""start"": 87, ""end"": 97, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__strict__cp200D__fragment.d94f1b97e48ed3b553b3508d116e6a09,strict,200D,fragment,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""G‍u‍a‍r‍a‍n‍t‍e‍e‍d"", ""start"": 7, ""end"": 17, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""G‍u‍a‍r‍a‍n‍t‍e‍e‍d"", ""start"": 87, ""end"": 97, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__strict__cp00AD__fragment.d94f1b97e48ed3b553b3508d116e6a09,strict,00AD,fragment,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""G­u­a­r­a­n­t­e­e­d"", ""start"": 7, ""end"": 17, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""G­u­a­r­a­n­t­e­e­d"", ""start"": 87, ""end"": 97, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__strict__cp200B__fragment.2ee33bc6eacdb11f38d052c44819ba6c,strict,200B,fragment,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""G​u​a​r​a​n​t​e​e​d"", ""start"": 0, ""end"": 10, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""G​u​a​r​a​n​t​e​e​d"", ""start"": 87, ""end"": 97, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__strict__cp200C__fragment.2ee33bc6eacdb11f38d052c44819ba6c,strict,200C,fragment,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""G‌u‌a‌r‌a‌n‌t‌e‌e‌d"", ""start"": 0, ""end"": 10, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""G‌u‌a‌r‌a‌n‌t‌e‌e‌d"", ""start"": 87, ""end"": 97, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__strict__cp200D__fragment.2ee33bc6eacdb11f38d052c44819ba6c,strict,200D,fragment,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""G‍u‍a‍r‍a‍n‍t‍e‍e‍d"", ""start"": 0, ""end"": 10, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""G‍u‍a‍r‍a‍n‍t‍e‍e‍d"", ""start"": 87, ""end"": 97, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__strict__cp00AD__fragment.2ee33bc6eacdb11f38d052c44819ba6c,strict,00AD,fragment,,1,1,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""G­u­a­r­a­n­t­e­e­d"", ""start"": 0, ""end"": 10, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Guaranteed"", ""salted_token"": ""G­u­a­r­a­n­t­e­e­d"", ""start"": 87, ""end"": 97, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00009.1e1a8cb4b57532ab38aa23287523659d,00009__salted__strict__cp200B__fragment.1e1a8cb4b57532ab38aa23287523659d,strict,200B,fragment,,0,2,True,[],"[{""original_token"": ""BENEFICIARY"", ""salted_token"": ""B​E​N​E​F​I​C​I​A​R​Y"", ""start"": 1318, ""end"": 1329, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""ASSISTANCE"", ""salted_token"": ""A​S​S​I​S​T​A​N​C​E"", ""start"": 2718, ""end"": 2728, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00009.1e1a8cb4b57532ab38aa23287523659d,00009__salted__strict__cp200C__fragment.1e1a8cb4b57532ab38aa23287523659d,strict,200C,fragment,,0,2,True,[],"[{""original_token"": ""BENEFICIARY"", ""salted_token"": ""B‌E‌N‌E‌F‌I‌C‌I‌A‌R‌Y"", ""start"": 1318, ""end"": 1329, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""ASSISTANCE"", ""salted_token"": ""A‌S‌S‌I‌S‌T‌A‌N‌C‌E"", ""start"": 2718, ""end"": 2728, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
