message_id;baseline_score;baseline_spam_flag;baseline_rule_count;n_variants;salted_score_mean;salted_score_min;salted_score_max;salted_rule_count_mean;salted_any_spam;salted_all_spam;salted_any_bypass;salted_all_bypass
00002.d94f1b97e48ed3b553b3508d116e6a09;4.4;False;6;4;4.4;4.4;4.4;6;False;False;True;True
00003.2ee33bc6eacdb11f38d052c44819ba6c;5.6;True;5;4;5.6;5.6;5.6;5;True;True;False;False
00004.eac8de8d759b7e74154f142194282724;18.3;True;15;4;18.3;18.3;18.3;15;True;True;False;False
00009.1e1a8cb4b57532ab38aa23287523659d;22.6;True;25;4;20.1;20.1;20.1;22.75;True;True;False;False
00012.cb9c9f2a25196f5b16512338625a85b4;17.4;True;14;4;17.4;17.4;17.4;14;True;True;False;False
00024.6b5437b14d403176c3f046c871b5b52f;5.4;True;9;4;5.4;5.4;5.4;9;True;True;False;False
00025.619ab8051359048795e3cd09e82ad1a0;21.9;True;19;4;21.9;21.9;21.9;19;True;True;False;False
00040.949a3d300eadb91d8745f1c1dab51133;12.9;True;11;4;10.4;10.4;10.4;10.75;True;True;False;False
00041.f1b3402799046db3c1f143a911dc085d;20.4;True;14;4;18.4;18.4;18.4;13.75;True;True;False;False
00044.9f8c4b9ae007c6ded3d57476082bf2b2;4.9;False;4;4;4.9;4.9;4.9;4;False;False;True;True
00045.7282c2c4e009744f2f3450d370009235;4.5;False;4;4;4.5;4.5;4.5;3;False;False;True;True
00054.62863160db27f89df8c73275b6dae134;10.3;True;6;4;7.4;7.4;7.4;5;True;True;False;False
00058.64bb1902c4e561fb3e521a6dbf8625be;17.2;True;16;4;17.2;17.2;17.2;16;True;True;False;False
00064.65b95365450ebe5eef61e7f1c60edc5e;14.5;True;7;4;14.5;14.5;14.5;7;True;True;False;False
00067.ec108870b01dc3ccb8fabc5def869ca5;20.1;True;19;4;20.1;20.1;20.1;19;True;True;False;False
00074.f7cfc6a5142e788004e0cff70e3a36c0;24.0;True;21;4;24.0;24.0;24.0;21;True;True;False;False
00078.6944f51ce9c0586d8f9137d2d2207df0;18.7;True;21;4;16.5;16.5;16.5;19;True;True;False;False
00090.52630c4c07cd069c7bc7658c1a7a7253;5.4;True;9;4;5.4;5.4;5.4;9;True;True;False;False
00101.5a24bf3ba3962442179b1a0325a1d1cb;25.3;True;22;4;25.3;25.3;25.3;22;True;True;False;False
00104.67ea4a37ac02d37f4baa7631ba17a824;9.4;True;9;4;9.4;9.4;9.4;9;True;True;False;False
00105.d8f25617befc5289aa4ed9602457050b;21.7;True;14;4;21.7;21.7;21.7;14;True;True;False;False
00113.0449844c534e41730bb7a0ab513580e9;22.2;True;13;4;21.6;21.6;21.6;12;True;True;False;False
00115.c97af50ef7ccd816f95bbdc6f4d226b2;11.9;True;9;4;11.9;11.9;11.9;9;True;True;False;False
00120.58579af867ff9a702cff23e7b8818a59;7.6;True;11;4;7.6;7.6;7.6;11;True;True;False;False
00123.a5ee0040ec9a30b3f32f61e547fa5f8f;20.0;True;20;4;18.8;18.8;18.8;19;True;True;False;False
00127.3500d109361b544b0937523adb763588;8.5;True;8;4;8.5;8.5;8.5;8;True;True;False;False
00128.721b6b20d5834d490662e2ae8c5c0684;14.0;True;12;4;12.8;12.8;12.8;11;True;True;False;False
00130.1ad579dc65cd646549fe87f565bdec5c;11.9;True;13;4;11.9;11.9;11.9;13;True;True;False;False
00144.a439c28b51d6b53f4fbf3bf427b55ed2;11.0;True;7;4;11.0;11.0;11.0;7;True;True;False;False
00153.6a5ffe584834ea334041ab958cadcadb;7.5;True;6;4;8.25;7.5;8.5;6.75;True;True;False;False
00154.b6c448ccff434e2dbe2c7c200a36aa31;17.2;True;14;4;17.2;17.2;17.2;14;True;True;False;False
00155.b043f6801a72ada945205709c44c8ac4;18.1;True;18;4;18.675;18.1;20.4;18.25;True;True;False;False
00159.6b641c70d79fd5a69b84a94b4e88150a;16.0;True;11;4;15.0;15.0;15.0;10;True;True;False;False
00160.cec5f611ae665ff0add6c4928d47f2be;21.4;True;18;4;21.4;21.4;21.4;18;True;True;False;False
00161.37836bbc77bdab253f914d7a5233badb;19.4;True;21;4;19.4;19.4;19.4;21;True;True;False;False
