rule;baseline_occurrences;lost_in_any_variant;lost_in_all_variants;lost_rate_any_variant;lost_rate_all_variants
DEAR_SOMETHING;15;15;15;1.0;1.0
ENGLISH_UCE_SUBJECT;10;10;10;1.0;1.0
CTE_8BIT_MISMATCH;6;6;6;1.0;1.0
CONTENT_AFTER_HTML_WEAK;5;5;5;1.0;1.0
DRUG_ED_ONLINE;3;3;3;1.0;1.0
MONEY_BACK;2;2;2;1.0;1.0
MIME_BASE64_TEXT;2;2;2;1.0;1.0
T_OBFU_DOC_ATTACH;1;1;1;1.0;1.0
TVD_SPACE_RATIO;1;1;1;1.0;1.0
TVD_APPROVED	autolearn=disabled;1;1;1;1.0;1.0
TVD_APPROVED;1;1;1;1.0;1.0
TO_NO_BRKTS_PCNT;1;1;1;1.0;1.0
THIS_AD	autolearn=disabled;1;1;1;1.0;1.0
SPOOFED_FREEM_REPTO	autolearn=disabled;1;1;1;1.0;1.0
RCVD_FAKE_HELO_DOTCOM	autolearn=disabled;1;1;1;1.0;1.0
FSL_CTYPE_WIN1251;1;1;1;1.0;1.0
FROM_ILLEGAL_CHARS;1;1;1;1.0;1.0
DEAR_FRIEND;1;1;1;1.0;1.0
ADVANCE_FEE_4_NEW_MONEY;1;1;1;1.0;1.0
T_REMOTE_IMAGE	autolearn=disabled;4;4;3;1.0;0.75
URG_BIZ	autolearn=disabled;5;5;3;1.0;0.6
SPOOFED_FREEMAIL_NO_RDNS	autolearn=disabled;4;4;2;1.0;0.5
T_FILL_THIS_FORM_SHORT	autolearn=disabled;6;6;2;1.0;0.333333
BAYES_95;4;4;1;1.0;0.25
URI_HEX	autolearn=disabled;1;1;0;1.0;0.0
T_MONEY_PERCENT	autolearn=disabled;1;1;0;1.0;0.0
T_FILL_THIS_FORM_LONG	autolearn=disabled;1;1;0;1.0;0.0
TO_MALFORMED	autolearn=disabled;1;1;0;1.0;0.0
XPRIO	autolearn=disabled;7;6;4;0.857143;0.571429
RDNS_NONE	autolearn=disabled;4;3;2;0.75;0.5
XPRIO;11;8;8;0.727273;0.727273
PP_MIME_FAKE_ASCII_TEXT;6;4;4;0.666667;0.666667
WEIRD_QUOTING;3;2;1;0.666667;0.333333
TO_NO_BRKTS_MSFT	autolearn=disabled;6;4;1;0.666667;0.166667
SUSPICIOUS_RECIPS	autolearn=disabled;3;2;0;0.666667;0.0
BAYES_80;9;5;2;0.555556;0.222222
BAYES_60;2;1;1;0.5;0.5
URG_BIZ;6;3;2;0.5;0.333333
UPPERCASE_75_100;2;1;0;0.5;0.0
UPPERCASE_50_75	autolearn=disabled;2;1;0;0.5;0.0
MSGID_FROM_MTA_HEADER	autolearn=disabled;2;1;0;0.5;0.0
TO_NO_BRKTS_MSFT;20;7;4;0.35;0.2
UNPARSEABLE_RELAY;3;1;0;0.333333;0.0
TRACKER_ID	autolearn=disabled;3;1;0;0.333333;0.0
TO_NO_BRKTS_DYNIP;3;1;0;0.333333;0.0
SUBJ_ALL_CAPS	autolearn=disabled;3;1;0;0.333333;0.0
SPOOFED_FREEMAIL	autolearn=disabled;3;1;0;0.333333;0.0
BAD_CREDIT;10;3;3;0.3;0.3
T_REMOTE_IMAGE;7;2;1;0.285714;0.142857
MIME_QP_LONG_LINE;11;3;3;0.272727;0.272727
T_TVD_MIME_EPI;4;1;1;0.25;0.25
SUBJECT_DIET;4;1;1;0.25;0.25
KHOP_HELO_FCRDNS	autolearn=disabled;4;1;1;0.25;0.25
WEIRD_PORT;8;2;0;0.25;0.0
LOW_PRICE;10;2;2;0.2;0.2
T_FILL_THIS_FORM_LONG;6;1;0;0.166667;0.0
ADVANCE_FEE_5_NEW_MONEY;13;2;2;0.153846;0.153846
MONEY_FRAUD_8;7;1;1;0.142857;0.142857
FIN_FREE;7;1;1;0.142857;0.142857
T_FILL_THIS_FORM_SHORT;22;2;0;0.090909;0.0
SUSPICIOUS_RECIPS;14;1;0;0.071429;0.0
RDNS_DYNAMIC;16;1;0;0.0625;0.0
DIET_1;18;1;1;0.055556;0.055556
SPOOFED_FREEMAIL_NO_RDNS;65;2;0;0.030769;0.0
RDNS_NONE;105;3;1;0.028571;0.009524
MSOE_MID_WRONG_CASE;38;1;1;0.026316;0.026316
LOTS_OF_MONEY;44;1;1;0.022727;0.022727
RATWARE_OUTLOOK_NONAME;48;1;0;0.020833;0.0
SPOOFED_FREEMAIL;104;2;1;0.019231;0.009615
BAYES_999;218;3;1;0.013761;0.004587
BAYES_99;220;2;2;0.009091;0.009091
