message_id,variant_filename,vocab_type,codepoint,salt_mode,fragment_max_positions,n_insert_subject,n_insert_body,body_part_found,subject_targets,body_targets
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__broad__cp200B__fragment.d94f1b97e48ed3b553b3508d116e6a09,broad,200B,fragment,,1,3,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""G​u​a​r​a​n​t​e​e​d"", ""start"": 7, ""end"": 17, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Risk"", ""salted_token"": ""R​i​s​k"", ""start"": 13, ""end"": 17, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""Guaranteed"", ""salted_token"": ""G​u​a​r​a​n​t​e​e​d"", ""start"": 87, ""end"": 97, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""lose"", ""salted_token"": ""l​o​s​e"", ""start"": 101, ""end"": 105, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__broad__cp200C__fragment.d94f1b97e48ed3b553b3508d116e6a09,broad,200C,fragment,,1,3,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""G‌u‌a‌r‌a‌n‌t‌e‌e‌d"", ""start"": 7, ""end"": 17, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Risk"", ""salted_token"": ""R‌i‌s‌k"", ""start"": 13, ""end"": 17, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""Guaranteed"", ""salted_token"": ""G‌u‌a‌r‌a‌n‌t‌e‌e‌d"", ""start"": 87, ""end"": 97, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""lose"", ""salted_token"": ""l‌o‌s‌e"", ""start"": 101, ""end"": 105, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__broad__cp200D__fragment.d94f1b97e48ed3b553b3508d116e6a09,broad,200D,fragment,,1,3,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""G‍u‍a‍r‍a‍n‍t‍e‍e‍d"", ""start"": 7, ""end"": 17, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Risk"", ""salted_token"": ""R‍i‍s‍k"", ""start"": 13, ""end"": 17, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""Guaranteed"", ""salted_token"": ""G‍u‍a‍r‍a‍n‍t‍e‍e‍d"", ""start"": 87, ""end"": 97, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""lose"", ""salted_token"": ""l‍o‍s‍e"", ""start"": 101, ""end"": 105, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__broad__cp00AD__fragment.d94f1b97e48ed3b553b3508d116e6a09,broad,00AD,fragment,,1,3,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""G­u­a­r­a­n­t­e­e­d"", ""start"": 7, ""end"": 17, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Risk"", ""salted_token"": ""R­i­s­k"", ""start"": 13, ""end"": 17, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""Guaranteed"", ""salted_token"": ""G­u­a­r­a­n­t­e­e­d"", ""start"": 87, ""end"": 97, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""lose"", ""salted_token"": ""l­o­s­e"", ""start"": 101, ""end"": 105, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__broad__cp200B__fragment.2ee33bc6eacdb11f38d052c44819ba6c,broad,200B,fragment,,1,3,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""G​u​a​r​a​n​t​e​e​d"", ""start"": 0, ""end"": 10, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Risk"", ""salted_token"": ""R​i​s​k"", ""start"": 13, ""end"": 17, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""Guaranteed"", ""salted_token"": ""G​u​a​r​a​n​t​e​e​d"", ""start"": 87, ""end"": 97, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""lose"", ""salted_token"": ""l​o​s​e"", ""start"": 101, ""end"": 105, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__broad__cp200C__fragment.2ee33bc6eacdb11f38d052c44819ba6c,broad,200C,fragment,,1,3,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""G‌u‌a‌r‌a‌n‌t‌e‌e‌d"", ""start"": 0, ""end"": 10, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Risk"", ""salted_token"": ""R‌i‌s‌k"", ""start"": 13, ""end"": 17, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""Guaranteed"", ""salted_token"": ""G‌u‌a‌r‌a‌n‌t‌e‌e‌d"", ""start"": 87, ""end"": 97, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""lose"", ""salted_token"": ""l‌o‌s‌e"", ""start"": 101, ""end"": 105, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__broad__cp200D__fragment.2ee33bc6eacdb11f38d052c44819ba6c,broad,200D,fragment,,1,3,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""G‍u‍a‍r‍a‍n‍t‍e‍e‍d"", ""start"": 0, ""end"": 10, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Risk"", ""salted_token"": ""R‍i‍s‍k"", ""start"": 13, ""end"": 17, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""Guaranteed"", ""salted_token"": ""G‍u‍a‍r‍a‍n‍t‍e‍e‍d"", ""start"": 87, ""end"": 97, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""lose"", ""salted_token"": ""l‍o‍s‍e"", ""start"": 101, ""end"": 105, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__broad__cp00AD__fragment.2ee33bc6eacdb11f38d052c44819ba6c,broad,00AD,fragment,,1,3,True,"[{""original_token"": ""Guaranteed"", ""salted_token"": ""G­u­a­r­a­n­t­e­e­d"", ""start"": 0, ""end"": 10, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Risk"", ""salted_token"": ""R­i­s­k"", ""start"": 13, ""end"": 17, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""Guaranteed"", ""salted_token"": ""G­u­a­r­a­n­t­e­e­d"", ""start"": 87, ""end"": 97, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""lose"", ""salted_token"": ""l­o­s­e"", ""start"": 101, ""end"": 105, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00004.eac8de8d759b7e74154f142194282724,00004__salted__broad__cp200B__fragment.eac8de8d759b7e74154f142194282724,broad,200B,fragment,,1,3,True,"[{""original_token"": ""Membership"", ""salted_token"": ""M​e​m​b​e​r​s​h​i​p"", ""start"": 32, ""end"": 42, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Adult"", ""salted_token"": ""A​d​u​l​t"", ""start"": 120, ""end"": 125, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""Offers"", ""salted_token"": ""O​f​f​e​r​s"", ""start"": 165, ""end"": 171, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""Membership"", ""salted_token"": ""M​e​m​b​e​r​s​h​i​p"", ""start"": 177, ""end"": 187, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
00004.eac8de8d759b7e74154f142194282724,00004__salted__broad__cp200C__fragment.eac8de8d759b7e74154f142194282724,broad,200C,fragment,,1,3,True,"[{""original_token"": ""Membership"", ""salted_token"": ""M‌e‌m‌b‌e‌r‌s‌h‌i‌p"", ""start"": 32, ""end"": 42, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]","[{""original_token"": ""Adult"", ""salted_token"": ""A‌d‌u‌l‌t"", ""start"": 120, ""end"": 125, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""Offers"", ""salted_token"": ""O‌f‌f‌e‌r‌s"", ""start"": 165, ""end"": 171, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}, {""original_token"": ""Membership"", ""salted_token"": ""M‌e‌m‌b‌e‌r‌s‌h‌i‌p"", ""start"": 177, ""end"": 187, ""salt_mode"": ""fragment"", ""fragment_max_positions"": null}]"
