message_id,variant_filename,vocab_type,codepoint,salt_mode,fragment_max_positions,subject_original_tokens,subject_salted_tokens,body_original_tokens,body_salted_tokens
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__broad__cp200B__fragment.d94f1b97e48ed3b553b3508d116e6a09,broad,200B,fragment,,Guaranteed,G​u​a​r​a​n​t​e​e​d,"Risk, Guaranteed, lose","R​i​s​k, G​u​a​r​a​n​t​e​e​d, l​o​s​e"
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__broad__cp200C__fragment.d94f1b97e48ed3b553b3508d116e6a09,broad,200C,fragment,,Guaranteed,G‌u‌a‌r‌a‌n‌t‌e‌e‌d,"Risk, Guaranteed, lose","R‌i‌s‌k, G‌u‌a‌r‌a‌n‌t‌e‌e‌d, l‌o‌s‌e"
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__broad__cp200D__fragment.d94f1b97e48ed3b553b3508d116e6a09,broad,200D,fragment,,Guaranteed,G‍u‍a‍r‍a‍n‍t‍e‍e‍d,"Risk, Guaranteed, lose","R‍i‍s‍k, G‍u‍a‍r‍a‍n‍t‍e‍e‍d, l‍o‍s‍e"
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__broad__cp00AD__fragment.d94f1b97e48ed3b553b3508d116e6a09,broad,00AD,fragment,,Guaranteed,G­u­a­r­a­n­t­e­e­d,"Risk, Guaranteed, lose","R­i­s­k, G­u­a­r­a­n­t­e­e­d, l­o­s­e"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__broad__cp200B__fragment.2ee33bc6eacdb11f38d052c44819ba6c,broad,200B,fragment,,Guaranteed,G​u​a​r​a​n​t​e​e​d,"Risk, Guaranteed, lose","R​i​s​k, G​u​a​r​a​n​t​e​e​d, l​o​s​e"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__broad__cp200C__fragment.2ee33bc6eacdb11f38d052c44819ba6c,broad,200C,fragment,,Guaranteed,G‌u‌a‌r‌a‌n‌t‌e‌e‌d,"Risk, Guaranteed, lose","R‌i‌s‌k, G‌u‌a‌r‌a‌n‌t‌e‌e‌d, l‌o‌s‌e"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__broad__cp200D__fragment.2ee33bc6eacdb11f38d052c44819ba6c,broad,200D,fragment,,Guaranteed,G‍u‍a‍r‍a‍n‍t‍e‍e‍d,"Risk, Guaranteed, lose","R‍i‍s‍k, G‍u‍a‍r‍a‍n‍t‍e‍e‍d, l‍o‍s‍e"
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__broad__cp00AD__fragment.2ee33bc6eacdb11f38d052c44819ba6c,broad,00AD,fragment,,Guaranteed,G­u­a­r­a­n­t­e­e­d,"Risk, Guaranteed, lose","R­i­s­k, G­u­a­r­a­n­t­e­e­d, l­o­s­e"
00004.eac8de8d759b7e74154f142194282724,00004__salted__broad__cp200B__fragment.eac8de8d759b7e74154f142194282724,broad,200B,fragment,,Membership,M​e​m​b​e​r​s​h​i​p,"Adult, Offers, Membership","A​d​u​l​t, O​f​f​e​r​s, M​e​m​b​e​r​s​h​i​p"
00004.eac8de8d759b7e74154f142194282724,00004__salted__broad__cp200C__fragment.eac8de8d759b7e74154f142194282724,broad,200C,fragment,,Membership,M‌e‌m‌b‌e‌r‌s‌h‌i‌p,"Adult, Offers, Membership","A‌d‌u‌l‌t, O‌f‌f‌e‌r‌s, M‌e‌m‌b‌e‌r‌s‌h‌i‌p"
