message_id,strict_has_trigger,extended_has_trigger,broad_has_trigger,strict_subject_count,strict_body_count,extended_subject_count,extended_body_count,broad_subject_count,broad_body_count,is_candidate_strict,is_candidate_extended,is_candidate_broad
00002.d94f1b97e48ed3b553b3508d116e6a09,True,True,True,1,1,1,1,2,5,True,True,True
00003.2ee33bc6eacdb11f38d052c44819ba6c,True,True,True,1,1,1,1,2,5,True,True,True
00004.bdcc075fa4beb5157b5dd6cd41d8887b,False,False,False,0,0,0,0,0,0,False,False,False
00004.eac8de8d759b7e74154f142194282724,False,True,True,0,0,0,7,1,37,False,True,True
00008.ccf927a6aec028f5472ca7b9db9eee20,True,True,True,0,4,0,8,0,57,True,True,True
00009.1e1a8cb4b57532ab38aa23287523659d,True,True,True,0,2,0,10,1,55,True,True,True
00011.bd8c904d9f7b161a813d222230214d50,True,True,True,0,1,0,4,0,12,True,True,True
00012.cb9c9f2a25196f5b16512338625a85b4,True,True,True,0,10,0,18,1,38,True,True,True
00024.6b5437b14d403176c3f046c871b5b52f,False,True,True,0,0,0,3,0,11,False,True,True
00025.619ab8051359048795e3cd09e82ad1a0,False,False,True,0,0,0,0,1,0,False,False,True
00031.e50cc5af8bd1131521b551713370a4b1,True,True,True,0,1,0,1,0,3,True,True,True
00033.53ab3a0f8862eb0c12fa6eb3d04badbb,True,True,True,0,2,0,2,0,7,True,True,True
00035.bd7183c238b884a153ad4888fbee9bf6,False,True,True,0,0,0,1,0,17,False,True,True
00040.949a3d300eadb91d8745f1c1dab51133,True,True,True,0,2,0,5,0,8,True,True,True
00041.f1b3402799046db3c1f143a911dc085d,True,True,True,0,2,0,5,0,8,True,True,True
00043.9331daf0bd865aa657cb02cbcd06173b,True,True,True,0,1,0,4,0,15,True,True,True
00044.9f8c4b9ae007c6ded3d57476082bf2b2,True,True,True,0,6,0,30,1,107,True,True,True
00045.7282c2c4e009744f2f3450d370009235,True,True,True,0,1,0,1,0,5,True,True,True
00046.96a19afe71cd6f1f14c96293557a49ff,False,False,False,0,0,0,0,0,0,False,False,False
00054.58b5d10599e5e7c98ce1498f2ba3e42c,True,True,True,0,1,0,4,0,12,True,True,True
00054.62863160db27f89df8c73275b6dae134,True,True,True,1,2,1,8,1,19,True,True,True
00057.01c83e8ad13d3f438c105ebc31808aa4,False,True,True,0,0,0,4,0,6,False,True,True
00058.64bb1902c4e561fb3e521a6dbf8625be,False,True,True,0,0,1,0,1,0,False,True,True
00061.bec763248306fb3228141491856ed216,False,False,False,0,0,0,0,0,0,False,False,False
00064.65b95365450ebe5eef61e7f1c60edc5e,True,True,True,0,1,0,2,1,4,True,True,True
00064.839dfb3973ed439e19c1ca77cffdab3d,False,True,True,0,0,0,5,0,18,False,True,True
00067.ec108870b01dc3ccb8fabc5def869ca5,True,True,True,1,0,1,0,1,0,True,True,True
00071.4b7e06d97286ec97820a0f8725878126,False,True,True,0,0,0,2,0,5,False,True,True
00073.fa47879bac3adc4b716130566ee0a2a6,False,True,True,0,0,0,1,0,7,False,True,True
00074.f7cfc6a5142e788004e0cff70e3a36c0,True,True,True,0,1,0,4,2,18,True,True,True
00076.7d4561ac3b877bbd9fd64d1cb433cb54,True,True,True,0,1,0,8,0,30,True,True,True
00078.6944f51ce9c0586d8f9137d2d2207df0,False,False,True,0,0,0,0,1,0,False,False,True
00083.c1891c507954e5b75b72b16712e799bf,False,False,False,0,0,0,0,0,0,False,False,False
00088.1673f91313df07da1a18b2fc458dd4c4,False,False,False,0,0,0,0,0,0,False,False,False
00090.52630c4c07cd069c7bc7658c1a7a7253,True,True,True,0,6,0,10,1,26,True,True,True
00098.842b0baaa0f03e439ec3a13ad5556e8c,True,True,True,0,2,0,4,0,7,True,True,True
00101.5a24bf3ba3962442179b1a0325a1d1cb,False,False,True,0,0,0,0,1,0,False,False,True
00104.04d165183bb8feab0956362c70591b3d,False,False,False,0,0,0,0,0,0,False,False,False
00104.67ea4a37ac02d37f4baa7631ba17a824,False,True,True,0,0,0,3,2,15,False,True,True
00105.d8f25617befc5289aa4ed9602457050b,True,True,True,1,4,1,13,1,25,True,True,True
00113.0449844c534e41730bb7a0ab513580e9,True,True,True,0,2,0,9,1,21,True,True,True
00115.c97af50ef7ccd816f95bbdc6f4d226b2,False,True,True,0,0,0,1,0,8,False,True,True
00116.29e39a0064e2714681726ac28ff3fdef,False,False,False,0,0,0,0,0,0,False,False,False
00119.010f7f583440f966e427436c31738466,True,True,True,0,1,0,6,0,16,True,True,True
