message_id;baseline_bayes;salted_best_bayes;n_variants;salted_any_bayes;salted_all_bayes
00003.2ee33bc6eacdb11f38d052c44819ba6c;BAYES_999;BAYES_999;4;True;True
00004.eac8de8d759b7e74154f142194282724;BAYES_999;BAYES_999;4;True;True
00009.1e1a8cb4b57532ab38aa23287523659d;BAYES_999;BAYES_999;4;True;True
00024.6b5437b14d403176c3f046c871b5b52f;BAYES_999;BAYES_999;4;True;True
00040.949a3d300eadb91d8745f1c1dab51133;BAYES_99;BAYES_95;4;True;True
00041.f1b3402799046db3c1f143a911dc085d;BAYES_999;BAYES_999;4;True;True
00054.62863160db27f89df8c73275b6dae134;BAYES_999;BAYES_999;4;True;True
00058.64bb1902c4e561fb3e521a6dbf8625be;BAYES_999;BAYES_999;4;True;True
00064.65b95365450ebe5eef61e7f1c60edc5e;BAYES_999;BAYES_999;4;True;True
00067.ec108870b01dc3ccb8fabc5def869ca5;BAYES_999;BAYES_999;4;True;True
00090.52630c4c07cd069c7bc7658c1a7a7253;BAYES_999;BAYES_999;4;True;True
00105.d8f25617befc5289aa4ed9602457050b;BAYES_999;BAYES_999;4;True;True
00115.c97af50ef7ccd816f95bbdc6f4d226b2;BAYES_999;BAYES_999;4;True;True
00120.58579af867ff9a702cff23e7b8818a59;BAYES_999;BAYES_999;4;True;True
00127.3500d109361b544b0937523adb763588;BAYES_999;BAYES_999;4;True;True
00128.721b6b20d5834d490662e2ae8c5c0684;BAYES_999;BAYES_999;4;True;True
00153.6a5ffe584834ea334041ab958cadcadb;BAYES_999;BAYES_999;4;True;True
00154.b6c448ccff434e2dbe2c7c200a36aa31;BAYES_999;BAYES_999;4;True;True
00159.6b641c70d79fd5a69b84a94b4e88150a;BAYES_999;BAYES_999;4;True;True
00160.cec5f611ae665ff0add6c4928d47f2be;BAYES_999;BAYES_999;4;True;True
00163.2ceade6f8b0c1c342f5f95d57ac551f5;BAYES_999;BAYES_999;4;True;True
00173.e10eb62e2c7808674c43d6a5e9e08a1c;BAYES_999;BAYES_999;4;True;True
00179.ef2f7cf60806a96b59f4477b025580ee;BAYES_50;BAYES_50;4;True;True
00182.1b9ba0f95506a6f2bf256f40fad0687d;BAYES_999;BAYES_999;4;True;True
00185.8ca19012fa3f2a906f23c3b41f11ffed;BAYES_95;BAYES_95;4;True;True
00186.a66b4fc4ab114c9cb37e1a31d1ea1aeb;BAYES_999;BAYES_999;4;True;True
00187.efd97ab2034b3384606e21db00014ecb;BAYES_999;BAYES_999;4;True;True
00190.ee2ea200e7efa602221c6492f9d9d8c0;BAYES_999;BAYES_999;4;True;True
00191.9ff80a41f015b7a6c409732e41c0df07;BAYES_999;BAYES_999;4;True;True
00194.767c323b4ae7a4909397e42cbd0c56a4;BAYES_50;BAYES_50;4;True;True
00196.dd21040c7757d477c967ae71b537810e;BAYES_999;BAYES_999;4;True;True
00198.150ad975a44e356b479b88d8b57edc40;BAYES_999;BAYES_999;4;True;True
00207.0b71ac81a360455c1514f5872564b1e1;BAYES_999;BAYES_999;4;True;True
00209.5276f967533f2ce0209c1eff631a86ff;BAYES_999;BAYES_999;4;True;True
00211.4a52fb081c7087c4a82402342751e755;BAYES_999;BAYES_999;4;True;True
00214.1367039e50dc6b7adb0f2aa8aba83216;BAYES_999;BAYES_999;4;True;True
00217.43b4ef3d9c56cf42be9c37b546a19e78;BAYES_999;BAYES_999;4;True;True
00224.0654fe0af51e1dcefa0eb66eb932f55f;BAYES_50;BAYES_50;4;True;True
00228.cf58326ab05a757c7e759acc8d6b360d;BAYES_999;BAYES_999;4;True;True
00231.8c72952de376293bc38d30834c0bb580;BAYES_999;BAYES_999;4;True;True
00233.3c32285387ebc0675adb029b9e20e581;BAYES_999;BAYES_999;4;True;True
00236.a46588c69d43e80c618038b95eff2893;BAYES_999;BAYES_999;4;True;True
00248.b243bca51ee69d6e428ca2f45f0fe41b;BAYES_999;BAYES_999;4;True;True
00249.5f45607c1bffe89f60ba1ec9f878039a;BAYES_999;BAYES_999;4;True;True
00251.6b4b7e79e1706156839a00817d774e37;BAYES_999;BAYES_999;4;True;True
00261.12b64e557e52daf5fc5a52e47df2f4e3;BAYES_999;BAYES_999;4;True;True
00263.32b258c4cc08d235b2ca36fc16074f08;BAYES_999;BAYES_999;4;True;True
00264.02b614f34aa0d5970959123b9386b285;BAYES_999;BAYES_999;4;True;True
00279.1d58a13e343c1e53aca2ed2121a3f815;BAYES_999;BAYES_999;4;True;True
00280.026da2bd191f11081b8d8428134b0c66;BAYES_999;BAYES_999;4;True;True
00284.227c1ebb961320cd2086d904d698c49b;BAYES_999;BAYES_999;4;True;True
00287.b0495a4dbdff36654c3b3ee2f92bdbf3;BAYES_999;BAYES_999;4;True;True
00291.7aa227e74e89bdd529a3875459d0d5a2;BAYES_999;BAYES_999;4;True;True
00292.dbf78a2aaa230d288eb80ab843804252;BAYES_999;BAYES_999;4;True;True
00296.85aa16f800e0aaf8755cdf23d7e035ff;BAYES_999;BAYES_999;4;True;True
00302.7f695c69d4cbe06e91cddd2ca7cddf33;BAYES_999;BAYES_999;4;True;True
00303.22239f1393297a691eb5df3dfe7a5001;BAYES_999;BAYES_999;4;True;True
00305.1f2a712e25638b0a4868155b37022cf1;BAYES_999;BAYES_999;4;True;True
00308.fc90f8aab51648329b9e705c9021b204;BAYES_999;BAYES_999;4;True;True
00312.5034fee7d265abd7a4194e9300de24bf;BAYES_999;BAYES_999;4;True;True
00344.17882edad13c2c761e6d8d99eef5a346;BAYES_999;BAYES_999;4;True;True
00344.e6463530b23a12554d2e6f0e08ae10a7;BAYES_999;BAYES_999;4;True;True
00345.613b3c2aeac033eebb379c91b8ce9fba;BAYES_999;BAYES_999;4;True;True
00346.d93a823fb3350a5da8f0c612ce1156cd;BAYES_50;BAYES_50;4;True;True
00354.dca4b8984863a76ffd01a33888498288;BAYES_999;BAYES_999;4;True;True
00356.ea7eb32330fa6bf65270023c0d99e2c5;BAYES_999;BAYES_999;4;True;True
00359.90bec90ebeaf05f024f48594e7d7b0d5;BAYES_999;BAYES_999;4;True;True
00361.e91ac048b0ede961d3f51009eee1c620;BAYES_999;BAYES_999;4;True;True
00369.845eeb9573484bd88a6a6224c7068d81;BAYES_999;BAYES_999;4;True;True
00373.ebe8670ac56b04125c25100a36ab0510;BAYES_999;BAYES_999;4;True;True
00384.2054d62f06fd10e4018a43e156b32acf;BAYES_999;BAYES_999;4;True;True
00386.6074f269f0bd1aec1546f9e654e8fcfe;BAYES_999;BAYES_999;4;True;True
00388.a884c42d4423d7e4718db0145b3b9d9b;BAYES_80;BAYES_80;4;True;True
00395.74aee42fac915ca758047506ec59a21f;BAYES_999;BAYES_999;4;True;True
00409.e59f63e813b6766a9a4ddf0790634ca3;BAYES_999;BAYES_999;4;True;True
00415.4af357c0282481dba8f1765f0bf09c09;BAYES_999;BAYES_999;4;True;True
00416.bff1badad869f205fdb54f311f060734;BAYES_999;BAYES_999;4;True;True
00426.36b36cbe96efe9001c4d80363ea7ed4e;BAYES_999;BAYES_999;4;True;True
00426.c743511223777504c01a35f90914b230;BAYES_999;BAYES_999;4;True;True
00428.5fe2c974b49315a6fbf9f3b09b47f030;BAYES_999;BAYES_999;4;True;True
00439.eacffbae5543e6be58178c0d3eb95041;BAYES_999;BAYES_999;4;True;True
00440.647d9eb44fd0cb069ea92be204966a8e;BAYES_999;BAYES_999;4;True;True
00441.77768298934252b2fa200e7d9482993b;BAYES_999;BAYES_999;4;True;True
00445.a5edbd936b830407d1a56b31ff3b82c0;BAYES_999;BAYES_999;4;True;True
00447.32e588c3a1d8888d737f360f825713b8;BAYES_999;BAYES_999;4;True;True
00455.8ccdcb205b6f8c3958bb3b2d39edca46;BAYES_999;BAYES_999;4;True;True
00458.62211764fde0dd7128ea4146268b40dd;BAYES_999;BAYES_999;4;True;True
00467.3748c927c32a9c4e8988dad52a843b5c;BAYES_999;BAYES_999;4;True;True
00475.71f75afb1960d619af86e1c64dcb11fc;BAYES_999;BAYES_999;4;True;True
00482.f839ea522f1ee459661a6b2fbd71e823;BAYES_999;BAYES_999;4;True;True
