rule;baseline_occurrences;lost_in_any_variant;lost_in_all_variants;lost_rate_any_variant;lost_rate_all_variants
DEAR_SOMETHING;15;15;15;1.0;1.0
ENGLISH_UCE_SUBJECT;10;10;10;1.0;1.0
CTE_8BIT_MISMATCH;6;6;6;1.0;1.0
PP_MIME_FAKE_ASCII_TEXT;4;4;4;1.0;1.0
XPRIO	autolearn=disabled;2;2;2;1.0;1.0
MIME_BASE64_TEXT;2;2;2;1.0;1.0
CONTENT_AFTER_HTML_WEAK;2;2;2;1.0;1.0
T_OBFU_DOC_ATTACH;1;1;1;1.0;1.0
THIS_AD	autolearn=disabled;1;1;1;1.0;1.0
RCVD_FAKE_HELO_DOTCOM	autolearn=disabled;1;1;1;1.0;1.0
FSL_CTYPE_WIN1251;1;1;1;1.0;1.0
FROM_ILLEGAL_CHARS;1;1;1;1.0;1.0
DEAR_FRIEND;1;1;1;1.0;1.0
BAYES_60;1;1;1;1.0;1.0
ADVANCE_FEE_4_NEW_MONEY;1;1;1;1.0;1.0
T_REMOTE_IMAGE	autolearn=disabled;4;4;3;1.0;0.75
BAYES_95;4;4;2;1.0;0.5
URG_BIZ	autolearn=disabled;5;5;2;1.0;0.4
T_FILL_THIS_FORM_SHORT	autolearn=disabled;6;6;2;1.0;0.333333
SPOOFED_FREEMAIL_NO_RDNS	autolearn=disabled;4;4;1;1.0;0.25
URI_HEX	autolearn=disabled;1;1;0;1.0;0.0
UPPERCASE_50_75	autolearn=disabled;1;1;0;1.0;0.0
T_MONEY_PERCENT	autolearn=disabled;1;1;0;1.0;0.0
TVD_APPROVED	autolearn=disabled;1;1;0;1.0;0.0
XPRIO;10;8;8;0.8;0.8
WEIRD_QUOTING;3;2;1;0.666667;0.333333
TO_NO_BRKTS_MSFT	autolearn=disabled;5;3;1;0.6;0.2
BAYES_80;7;4;2;0.571429;0.285714
THIS_AD;4;2;2;0.5;0.5
RDNS_NONE	autolearn=disabled;2;1;1;0.5;0.5
KHOP_HELO_FCRDNS	autolearn=disabled;2;1;1;0.5;0.5
URI_HEX;2;1;0;0.5;0.0
TO_NO_BRKTS_MSFT;14;6;4;0.428571;0.285714
URG_BIZ;5;2;1;0.4;0.2
EXCUSE_24;8;3;3;0.375;0.375
MIME_QP_LONG_LINE;9;3;3;0.333333;0.333333
T_TVD_MIME_EPI;3;1;1;0.333333;0.333333
FORM_FRAUD;3;1;1;0.333333;0.333333
TRACKER_ID	autolearn=disabled;3;1;0;0.333333;0.0
TO_NO_BRKTS_DYNIP;3;1;0;0.333333;0.0
SUBJ_ALL_CAPS	autolearn=disabled;3;1;0;0.333333;0.0
SPOOFED_FREEMAIL	autolearn=disabled;3;1;0;0.333333;0.0
BANG_GUAR;10;3;3;0.3;0.3
WEIRD_PORT;8;2;0;0.25;0.0
EXCUSE_REMOVE;5;1;1;0.2;0.2
T_FILL_THIS_FORM_LONG;5;1;0;0.2;0.0
T_REMOTE_IMAGE;6;1;0;0.166667;0.0
ADVANCE_FEE_5_NEW_MONEY;13;2;2;0.153846;0.153846
MONEY_FRAUD_8;7;1;1;0.142857;0.142857
RDNS_DYNAMIC;16;2;1;0.125;0.0625
END_FUTURE_EMAILS;16;1;1;0.0625;0.0625
T_FILL_THIS_FORM_SHORT;21;1;0;0.047619;0.0
SPOOFED_FREEMAIL_NO_RDNS;50;2;0;0.04;0.0
MSOE_MID_WRONG_CASE;32;1;1;0.03125;0.03125
SPOOFED_FREEMAIL;78;2;1;0.025641;0.012821
BAYES_999;177;1;0;0.00565;0.0
BAYES_99;178;1;1;0.005618;0.005618
