message_id,variant_filename,vocab_type,codepoint,salt_mode,fragment_max_positions,subject_original_tokens,subject_salted_tokens,body_original_tokens,body_salted_tokens
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__extended__cp200B__fragment.d94f1b97e48ed3b553b3508d116e6a09,extended,200B,fragment,,Guaranteed,G​u​a​r​a​n​t​e​e​d,Guaranteed,G​u​a​r​a​n​t​e​e​d
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__extended__cp200C__fragment.d94f1b97e48ed3b553b3508d116e6a09,extended,200C,fragment,,Guaranteed,G‌u‌a‌r‌a‌n‌t‌e‌e‌d,Guaranteed,G‌u‌a‌r‌a‌n‌t‌e‌e‌d
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__extended__cp200D__fragment.d94f1b97e48ed3b553b3508d116e6a09,extended,200D,fragment,,Guaranteed,G‍u‍a‍r‍a‍n‍t‍e‍e‍d,Guaranteed,G‍u‍a‍r‍a‍n‍t‍e‍e‍d
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__extended__cp00AD__fragment.d94f1b97e48ed3b553b3508d116e6a09,extended,00AD,fragment,,Guaranteed,G­u­a­r­a­n­t­e­e­d,Guaranteed,G­u­a­r­a­n­t­e­e­d
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__extended__cp200B__fragment.2ee33bc6eacdb11f38d052c44819ba6c,extended,200B,fragment,,Guaranteed,G​u​a​r​a​n​t​e​e​d,Guaranteed,G​u​a​r​a​n​t​e​e​d
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__extended__cp200C__fragment.2ee33bc6eacdb11f38d052c44819ba6c,extended,200C,fragment,,Guaranteed,G‌u‌a‌r‌a‌n‌t‌e‌e‌d,Guaranteed,G‌u‌a‌r‌a‌n‌t‌e‌e‌d
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__extended__cp200D__fragment.2ee33bc6eacdb11f38d052c44819ba6c,extended,200D,fragment,,Guaranteed,G‍u‍a‍r‍a‍n‍t‍e‍e‍d,Guaranteed,G‍u‍a‍r‍a‍n‍t‍e‍e‍d
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__extended__cp00AD__fragment.2ee33bc6eacdb11f38d052c44819ba6c,extended,00AD,fragment,,Guaranteed,G­u­a­r­a­n­t­e­e­d,Guaranteed,G­u­a­r­a­n­t­e­e­d
00004.eac8de8d759b7e74154f142194282724,00004__salted__extended__cp200B__fragment.eac8de8d759b7e74154f142194282724,extended,200B,fragment,,,,"Click, Removal, advertisement","C​l​i​c​k, R​e​m​o​v​a​l, a​d​v​e​r​t​i​s​e​m​e​n​t"
00004.eac8de8d759b7e74154f142194282724,00004__salted__extended__cp200C__fragment.eac8de8d759b7e74154f142194282724,extended,200C,fragment,,,,"Click, Removal, advertisement","C‌l‌i‌c‌k, R‌e‌m‌o‌v‌a‌l, a‌d‌v‌e‌r‌t‌i‌s‌e‌m‌e‌n‌t"
00004.eac8de8d759b7e74154f142194282724,00004__salted__extended__cp200D__fragment.eac8de8d759b7e74154f142194282724,extended,200D,fragment,,,,"Click, Removal, advertisement","C‍l‍i‍c‍k, R‍e‍m‍o‍v‍a‍l, a‍d‍v‍e‍r‍t‍i‍s‍e‍m‍e‍n‍t"
00004.eac8de8d759b7e74154f142194282724,00004__salted__extended__cp00AD__fragment.eac8de8d759b7e74154f142194282724,extended,00AD,fragment,,,,"Click, Removal, advertisement","C­l­i­c­k, R­e­m­o­v­a­l, a­d­v­e­r­t­i­s­e­m­e­n­t"
00009.1e1a8cb4b57532ab38aa23287523659d,00009__salted__extended__cp200B__fragment.1e1a8cb4b57532ab38aa23287523659d,extended,200B,fragment,,,,"DEAR, SIR, USD","D​E​A​R, S​I​R, U​S​D"
00009.1e1a8cb4b57532ab38aa23287523659d,00009__salted__extended__cp200C__fragment.1e1a8cb4b57532ab38aa23287523659d,extended,200C,fragment,,,,"DEAR, SIR, USD","D‌E‌A‌R, S‌I‌R, U‌S‌D"
00009.1e1a8cb4b57532ab38aa23287523659d,00009__salted__extended__cp200D__fragment.1e1a8cb4b57532ab38aa23287523659d,extended,200D,fragment,,,,"DEAR, SIR, USD","D‍E‍A‍R, S‍I‍R, U‍S‍D"
00009.1e1a8cb4b57532ab38aa23287523659d,00009__salted__extended__cp00AD__fragment.1e1a8cb4b57532ab38aa23287523659d,extended,00AD,fragment,,,,"DEAR, SIR, USD","D­E­A­R, S­I­R, U­S­D"
00024.6b5437b14d403176c3f046c871b5b52f,00024__salted__extended__cp200B__fragment.6b5437b14d403176c3f046c871b5b52f,extended,200B,fragment,,,,"Fees, receive, receive","F​e​e​s, r​e​c​e​i​v​e, r​e​c​e​i​v​e"
00024.6b5437b14d403176c3f046c871b5b52f,00024__salted__extended__cp200C__fragment.6b5437b14d403176c3f046c871b5b52f,extended,200C,fragment,,,,"Fees, receive, receive","F‌e‌e‌s, r‌e‌c‌e‌i‌v‌e, r‌e‌c‌e‌i‌v‌e"
00024.6b5437b14d403176c3f046c871b5b52f,00024__salted__extended__cp200D__fragment.6b5437b14d403176c3f046c871b5b52f,extended,200D,fragment,,,,"Fees, receive, receive","F‍e‍e‍s, r‍e‍c‍e‍i‍v‍e, r‍e‍c‍e‍i‍v‍e"
00024.6b5437b14d403176c3f046c871b5b52f,00024__salted__extended__cp00AD__fragment.6b5437b14d403176c3f046c871b5b52f,extended,00AD,fragment,,,,"Fees, receive, receive","F­e­e­s, r­e­c­e­i­v­e, r­e­c­e­i­v­e"
