rule;baseline_occurrences;lost_in_any_variant;lost_in_all_variants;lost_rate_any_variant;lost_rate_all_variants
ENGLISH_UCE_SUBJECT;10;10;10;1.0;1.0
CTE_8BIT_MISMATCH;5;5;5;1.0;1.0
PP_MIME_FAKE_ASCII_TEXT;3;3;3;1.0;1.0
CONTENT_AFTER_HTML_WEAK;2;2;2;1.0;1.0
XPRIO	autolearn=disabled;1;1;1;1.0;1.0
THIS_AD	autolearn=disabled;1;1;1;1.0;1.0
RDNS_NONE	autolearn=disabled;1;1;1;1.0;1.0
MIME_BASE64_TEXT;1;1;1;1.0;1.0
FSL_CTYPE_WIN1251;1;1;1;1.0;1.0
ADVANCE_FEE_4_NEW_MONEY;1;1;1;1.0;1.0
T_REMOTE_IMAGE	autolearn=disabled;4;4;3;1.0;0.75
BAYES_95;2;2;1;1.0;0.5
SPOOFED_FREEMAIL_NO_RDNS	autolearn=disabled;3;3;1;1.0;0.333333
URI_HEX	autolearn=disabled;1;1;0;1.0;0.0
UPPERCASE_50_75	autolearn=disabled;1;1;0;1.0;0.0
T_MONEY_PERCENT	autolearn=disabled;1;1;0;1.0;0.0
RCVD_FAKE_HELO_DOTCOM	autolearn=disabled;1;1;0;1.0;0.0
URG_BIZ	autolearn=disabled;5;4;0;0.8;0.0
TO_NO_BRKTS_MSFT	autolearn=disabled;4;3;1;0.75;0.25
XPRIO;6;4;4;0.666667;0.666667
T_FILL_THIS_FORM_SHORT	autolearn=disabled;6;4;2;0.666667;0.333333
TRACKER_ID	autolearn=disabled;3;2;0;0.666667;0.0
GUARANTEED_100_PERCENT;5;3;3;0.6;0.6
KHOP_HELO_FCRDNS	autolearn=disabled;2;1;1;0.5;0.5
BAYES_80;6;3;0;0.5;0.0
SPOOFED_FREEMAIL	autolearn=disabled;2;1;0;0.5;0.0
BANG_GUAR;10;4;4;0.4;0.4
EXCUSE_REMOVE;5;2;2;0.4;0.4
URG_BIZ;5;2;1;0.4;0.2
TO_NO_BRKTS_MSFT;11;4;3;0.363636;0.272727
TO_NO_BRKTS_DYNIP;3;1;0;0.333333;0.0
SUBJ_ALL_CAPS	autolearn=disabled;3;1;0;0.333333;0.0
MIME_QP_LONG_LINE;7;2;2;0.285714;0.285714
T_FILL_THIS_FORM_LONG;4;1;0;0.25;0.0
T_REMOTE_IMAGE;5;1;0;0.2;0.0
ADVANCE_FEE_5_NEW_MONEY;13;2;2;0.153846;0.153846
MONEY_FRAUD_8;7;1;1;0.142857;0.142857
DEAR_SOMETHING;11;1;1;0.090909;0.090909
RDNS_DYNAMIC;12;1;1;0.083333;0.083333
END_FUTURE_EMAILS;14;1;1;0.071429;0.071429
MSOE_MID_WRONG_CASE;24;1;1;0.041667;0.041667
SPOOFED_FREEMAIL;60;1;0;0.016667;0.0
RDNS_NONE;62;1;1;0.016129;0.016129
BAYES_999;139;1;0;0.007194;0.0
BAYES_99;140;1;1;0.007143;0.007143
