message_id,variant_filename,vocab_type,codepoint,salt_mode,fragment_max_positions,subject_original_tokens,subject_salted_tokens,body_original_tokens,body_salted_tokens
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__strict__cp200B__fragment.d94f1b97e48ed3b553b3508d116e6a09,strict,200B,fragment,,Guaranteed,G​u​a​r​a​n​t​e​e​d,Guaranteed,G​u​a​r​a​n​t​e​e​d
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__strict__cp200C__fragment.d94f1b97e48ed3b553b3508d116e6a09,strict,200C,fragment,,Guaranteed,G‌u‌a‌r‌a‌n‌t‌e‌e‌d,Guaranteed,G‌u‌a‌r‌a‌n‌t‌e‌e‌d
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__strict__cp200D__fragment.d94f1b97e48ed3b553b3508d116e6a09,strict,200D,fragment,,Guaranteed,G‍u‍a‍r‍a‍n‍t‍e‍e‍d,Guaranteed,G‍u‍a‍r‍a‍n‍t‍e‍e‍d
00002.d94f1b97e48ed3b553b3508d116e6a09,00002__salted__strict__cp00AD__fragment.d94f1b97e48ed3b553b3508d116e6a09,strict,00AD,fragment,,Guaranteed,G­u­a­r­a­n­t­e­e­d,Guaranteed,G­u­a­r­a­n­t­e­e­d
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__strict__cp200B__fragment.2ee33bc6eacdb11f38d052c44819ba6c,strict,200B,fragment,,Guaranteed,G​u​a​r​a​n​t​e​e​d,Guaranteed,G​u​a​r​a​n​t​e​e​d
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__strict__cp200C__fragment.2ee33bc6eacdb11f38d052c44819ba6c,strict,200C,fragment,,Guaranteed,G‌u‌a‌r‌a‌n‌t‌e‌e‌d,Guaranteed,G‌u‌a‌r‌a‌n‌t‌e‌e‌d
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__strict__cp200D__fragment.2ee33bc6eacdb11f38d052c44819ba6c,strict,200D,fragment,,Guaranteed,G‍u‍a‍r‍a‍n‍t‍e‍e‍d,Guaranteed,G‍u‍a‍r‍a‍n‍t‍e‍e‍d
00003.2ee33bc6eacdb11f38d052c44819ba6c,00003__salted__strict__cp00AD__fragment.2ee33bc6eacdb11f38d052c44819ba6c,strict,00AD,fragment,,Guaranteed,G­u­a­r­a­n­t­e­e­d,Guaranteed,G­u­a­r­a­n­t­e­e­d
00009.1e1a8cb4b57532ab38aa23287523659d,00009__salted__strict__cp200B__fragment.1e1a8cb4b57532ab38aa23287523659d,strict,200B,fragment,,,,"BENEFICIARY, ASSISTANCE","B​E​N​E​F​I​C​I​A​R​Y, A​S​S​I​S​T​A​N​C​E"
00009.1e1a8cb4b57532ab38aa23287523659d,00009__salted__strict__cp200C__fragment.1e1a8cb4b57532ab38aa23287523659d,strict,200C,fragment,,,,"BENEFICIARY, ASSISTANCE","B‌E‌N‌E‌F‌I‌C‌I‌A‌R‌Y, A‌S‌S‌I‌S‌T‌A‌N‌C‌E"
00009.1e1a8cb4b57532ab38aa23287523659d,00009__salted__strict__cp200D__fragment.1e1a8cb4b57532ab38aa23287523659d,strict,200D,fragment,,,,"BENEFICIARY, ASSISTANCE","B‍E‍N‍E‍F‍I‍C‍I‍A‍R‍Y, A‍S‍S‍I‍S‍T‍A‍N‍C‍E"
00009.1e1a8cb4b57532ab38aa23287523659d,00009__salted__strict__cp00AD__fragment.1e1a8cb4b57532ab38aa23287523659d,strict,00AD,fragment,,,,"BENEFICIARY, ASSISTANCE","B­E­N­E­F­I­C­I­A­R­Y, A­S­S­I­S­T­A­N­C­E"
00040.949a3d300eadb91d8745f1c1dab51133,00040__salted__strict__cp200B__fragment.949a3d300eadb91d8745f1c1dab51133,strict,200B,fragment,,,,"Madam, Promotion","M​a​d​a​m, P​r​o​m​o​t​i​o​n"
00040.949a3d300eadb91d8745f1c1dab51133,00040__salted__strict__cp200C__fragment.949a3d300eadb91d8745f1c1dab51133,strict,200C,fragment,,,,"Madam, Promotion","M‌a‌d‌a‌m, P‌r‌o‌m‌o‌t‌i‌o‌n"
00040.949a3d300eadb91d8745f1c1dab51133,00040__salted__strict__cp200D__fragment.949a3d300eadb91d8745f1c1dab51133,strict,200D,fragment,,,,"Madam, Promotion","M‍a‍d‍a‍m, P‍r‍o‍m‍o‍t‍i‍o‍n"
00040.949a3d300eadb91d8745f1c1dab51133,00040__salted__strict__cp00AD__fragment.949a3d300eadb91d8745f1c1dab51133,strict,00AD,fragment,,,,"Madam, Promotion","M­a­d­a­m, P­r­o­m­o­t­i­o­n"
00041.f1b3402799046db3c1f143a911dc085d,00041__salted__strict__cp200B__fragment.f1b3402799046db3c1f143a911dc085d,strict,200B,fragment,,,,"Madam, Promotion","M​a​d​a​m, P​r​o​m​o​t​i​o​n"
00041.f1b3402799046db3c1f143a911dc085d,00041__salted__strict__cp200C__fragment.f1b3402799046db3c1f143a911dc085d,strict,200C,fragment,,,,"Madam, Promotion","M‌a‌d‌a‌m, P‌r‌o‌m‌o‌t‌i‌o‌n"
00041.f1b3402799046db3c1f143a911dc085d,00041__salted__strict__cp200D__fragment.f1b3402799046db3c1f143a911dc085d,strict,200D,fragment,,,,"Madam, Promotion","M‍a‍d‍a‍m, P‍r‍o‍m‍o‍t‍i‍o‍n"
00041.f1b3402799046db3c1f143a911dc085d,00041__salted__strict__cp00AD__fragment.f1b3402799046db3c1f143a911dc085d,strict,00AD,fragment,,,,"Madam, Promotion","M­a­d­a­m, P­r­o­m­o­t­i­o­n"
00045.7282c2c4e009744f2f3450d370009235,00045__salted__strict__cp200B__fragment.7282c2c4e009744f2f3450d370009235,strict,200B,fragment,,,,Guaranteed,G​u​a​r​a​n​t​e​e​d
00045.7282c2c4e009744f2f3450d370009235,00045__salted__strict__cp200C__fragment.7282c2c4e009744f2f3450d370009235,strict,200C,fragment,,,,Guaranteed,G‌u‌a‌r‌a‌n‌t‌e‌e‌d
00045.7282c2c4e009744f2f3450d370009235,00045__salted__strict__cp200D__fragment.7282c2c4e009744f2f3450d370009235,strict,200D,fragment,,,,Guaranteed,G‍u‍a‍r‍a‍n‍t‍e‍e‍d
00045.7282c2c4e009744f2f3450d370009235,00045__salted__strict__cp00AD__fragment.7282c2c4e009744f2f3450d370009235,strict,00AD,fragment,,,,Guaranteed,G­u­a­r­a­n­t­e­e­d
00054.62863160db27f89df8c73275b6dae134,00054__salted__strict__cp200B__fragment.62863160db27f89df8c73275b6dae134,strict,200B,fragment,,ADV,A​D​V,,
00054.62863160db27f89df8c73275b6dae134,00054__salted__strict__cp200C__fragment.62863160db27f89df8c73275b6dae134,strict,200C,fragment,,ADV,A‌D‌V,,
00054.62863160db27f89df8c73275b6dae134,00054__salted__strict__cp200D__fragment.62863160db27f89df8c73275b6dae134,strict,200D,fragment,,ADV,A‍D‍V,,
00054.62863160db27f89df8c73275b6dae134,00054__salted__strict__cp00AD__fragment.62863160db27f89df8c73275b6dae134,strict,00AD,fragment,,ADV,A­D­V,,
00064.65b95365450ebe5eef61e7f1c60edc5e,00064__salted__strict__cp200B__fragment.65b95365450ebe5eef61e7f1c60edc5e,strict,200B,fragment,,,,Earn,E​a​r​n
00064.65b95365450ebe5eef61e7f1c60edc5e,00064__salted__strict__cp200C__fragment.65b95365450ebe5eef61e7f1c60edc5e,strict,200C,fragment,,,,Earn,E‌a‌r‌n
00064.65b95365450ebe5eef61e7f1c60edc5e,00064__salted__strict__cp200D__fragment.65b95365450ebe5eef61e7f1c60edc5e,strict,200D,fragment,,,,Earn,E‍a‍r‍n
00064.65b95365450ebe5eef61e7f1c60edc5e,00064__salted__strict__cp00AD__fragment.65b95365450ebe5eef61e7f1c60edc5e,strict,00AD,fragment,,,,Earn,E­a­r­n
00067.ec108870b01dc3ccb8fabc5def869ca5,00067__salted__strict__cp200B__fragment.ec108870b01dc3ccb8fabc5def869ca5,strict,200B,fragment,,SYSTEMWORKS,S​Y​S​T​E​M​W​O​R​K​S,,
00067.ec108870b01dc3ccb8fabc5def869ca5,00067__salted__strict__cp200C__fragment.ec108870b01dc3ccb8fabc5def869ca5,strict,200C,fragment,,SYSTEMWORKS,S‌Y‌S‌T‌E‌M‌W‌O‌R‌K‌S,,
00067.ec108870b01dc3ccb8fabc5def869ca5,00067__salted__strict__cp200D__fragment.ec108870b01dc3ccb8fabc5def869ca5,strict,200D,fragment,,SYSTEMWORKS,S‍Y‍S‍T‍E‍M‍W‍O‍R‍K‍S,,
00067.ec108870b01dc3ccb8fabc5def869ca5,00067__salted__strict__cp00AD__fragment.ec108870b01dc3ccb8fabc5def869ca5,strict,00AD,fragment,,SYSTEMWORKS,S­Y­S­T­E­M­W­O­R­K­S,,
00090.52630c4c07cd069c7bc7658c1a7a7253,00090__salted__strict__cp200B__fragment.52630c4c07cd069c7bc7658c1a7a7253,strict,200B,fragment,,,,"annuity, Earn, annuity","a​n​n​u​i​t​y, E​a​r​n, a​n​n​u​i​t​y"
00090.52630c4c07cd069c7bc7658c1a7a7253,00090__salted__strict__cp200C__fragment.52630c4c07cd069c7bc7658c1a7a7253,strict,200C,fragment,,,,"annuity, Earn, annuity","a‌n‌n‌u‌i‌t‌y, E‌a‌r‌n, a‌n‌n‌u‌i‌t‌y"
00090.52630c4c07cd069c7bc7658c1a7a7253,00090__salted__strict__cp200D__fragment.52630c4c07cd069c7bc7658c1a7a7253,strict,200D,fragment,,,,"annuity, Earn, annuity","a‍n‍n‍u‍i‍t‍y, E‍a‍r‍n, a‍n‍n‍u‍i‍t‍y"
00090.52630c4c07cd069c7bc7658c1a7a7253,00090__salted__strict__cp00AD__fragment.52630c4c07cd069c7bc7658c1a7a7253,strict,00AD,fragment,,,,"annuity, Earn, annuity","a­n­n­u­i­t­y, E­a­r­n, a­n­n­u­i­t­y"
00105.d8f25617befc5289aa4ed9602457050b,00105__salted__strict__cp200B__fragment.d8f25617befc5289aa4ed9602457050b,strict,200B,fragment,,Loans,L​o​a​n​s,,
00105.d8f25617befc5289aa4ed9602457050b,00105__salted__strict__cp200C__fragment.d8f25617befc5289aa4ed9602457050b,strict,200C,fragment,,Loans,L‌o‌a‌n‌s,,
