message_id;baseline_score;baseline_spam_flag;baseline_rule_count;n_variants;salted_score_mean;salted_score_min;salted_score_max;salted_rule_count_mean;salted_any_spam;salted_all_spam;salted_any_bypass;salted_all_bypass
00002.d94f1b97e48ed3b553b3508d116e6a09;4.4;False;6;4;4.4;4.4;4.4;6;False;False;True;True
00003.2ee33bc6eacdb11f38d052c44819ba6c;6.6;True;6;4;6.6;6.6;6.6;6;True;True;False;False
00009.1e1a8cb4b57532ab38aa23287523659d;22.4;True;25;4;22.4;22.4;22.4;24.75;True;True;False;False
00040.949a3d300eadb91d8745f1c1dab51133;12.9;True;11;4;11.4;11.4;11.4;11.75;True;True;False;False
00041.f1b3402799046db3c1f143a911dc085d;19.9;True;14;4;20.65;19.9;20.9;15.5;True;True;False;False
00045.7282c2c4e009744f2f3450d370009235;4.5;False;4;4;5.25;4.5;5.5;4.75;True;False;True;False
00054.62863160db27f89df8c73275b6dae134;10.3;True;6;4;7.4;7.4;7.4;5;True;True;False;False
00064.65b95365450ebe5eef61e7f1c60edc5e;14.5;True;7;4;14.5;14.5;14.5;7;True;True;False;False
00067.ec108870b01dc3ccb8fabc5def869ca5;19.6;True;19;4;19.6;19.6;19.6;19.75;True;True;False;False
00090.52630c4c07cd069c7bc7658c1a7a7253;6.4;True;10;4;6.4;6.4;6.4;10;True;True;False;False
00105.d8f25617befc5289aa4ed9602457050b;19.2;True;14;4;19.2;19.2;19.2;14;True;True;False;False
00120.58579af867ff9a702cff23e7b8818a59;7.6;True;11;4;7.6;7.6;7.6;11;True;True;False;False
00127.3500d109361b544b0937523adb763588;8.5;True;8;4;5.8;5.8;5.8;7;True;True;False;False
00160.cec5f611ae665ff0add6c4928d47f2be;23.3;True;18;4;24.05;23.3;24.3;18.75;True;True;False;False
00169.86268e75abd1bd4bda4d6c129681df34;2.2;False;2;4;2.95;2.2;3.2;2.75;False;False;True;True
00173.e10eb62e2c7808674c43d6a5e9e08a1c;13.4;True;18;4;13.4;13.4;13.4;18;True;True;False;False
00179.ef2f7cf60806a96b59f4477b025580ee;8.7;True;15;4;9.45;8.7;9.7;15.75;True;True;False;False
00180.751cb63992e172566b3a296d970c425d;4.8;False;6;4;4.8;4.8;4.8;6;False;False;True;True
00182.1b9ba0f95506a6f2bf256f40fad0687d;17.3;True;15;4;17.3;17.3;17.3;15;True;True;False;False
00186.a66b4fc4ab114c9cb37e1a31d1ea1aeb;7.4;True;12;4;7.4;7.4;7.4;12;True;True;False;False
00188.b12197b37ceb97fa0cd802566c1e08db;4.8;False;6;4;4.8;4.8;4.8;6;False;False;True;True
00190.ee2ea200e7efa602221c6492f9d9d8c0;6.3;True;8;4;6.3;6.3;6.3;8;True;True;False;False
00191.9ff80a41f015b7a6c409732e41c0df07;10.6;True;7;4;10.6;10.6;10.6;7;True;True;False;False
00196.dd21040c7757d477c967ae71b537810e;15.3;True;18;4;15.3;15.3;15.3;18.75;True;True;False;False
00198.150ad975a44e356b479b88d8b57edc40;6.3;True;8;4;6.3;6.3;6.3;8;True;True;False;False
00207.0b71ac81a360455c1514f5872564b1e1;21.3;True;15;4;18.8;18.8;18.8;13;True;True;False;False
00209.5276f967533f2ce0209c1eff631a86ff;7.4;True;11;4;7.4;7.4;7.4;11;True;True;False;False
00211.4a52fb081c7087c4a82402342751e755;22.8;True;13;4;20.65;19.9;20.9;12.75;True;True;False;False
00214.1367039e50dc6b7adb0f2aa8aba83216;6.4;True;10;4;6.4;6.4;6.4;10;True;True;False;False
00217.43b4ef3d9c56cf42be9c37b546a19e78;19.8;True;21;4;18.575000000000003;18.5;18.6;20.75;True;True;False;False
00224.0654fe0af51e1dcefa0eb66eb932f55f;9.3;True;12;4;8.1;8.1;8.1;10;True;True;False;False
00228.cf58326ab05a757c7e759acc8d6b360d;11.9;True;13;4;11.9;11.9;11.9;13.75;True;True;False;False
00231.8c72952de376293bc38d30834c0bb580;14.3;True;19;4;14.3;14.3;14.3;19;True;True;False;False
00233.3c32285387ebc0675adb029b9e20e581;6.5;True;11;4;7.25;6.5;7.5;11.75;True;True;False;False
00236.a46588c69d43e80c618038b95eff2893;10.1;True;12;4;10.85;10.1;11.1;12.75;True;True;False;False
00248.b243bca51ee69d6e428ca2f45f0fe41b;6.4;True;10;4;6.4;6.4;6.4;10;True;True;False;False
00249.5f45607c1bffe89f60ba1ec9f878039a;14.0;True;8;4;14.0;14.0;14.0;8;True;True;False;False
00251.6b4b7e79e1706156839a00817d774e37;18.9;True;17;4;18.9;18.9;18.9;17.75;True;True;False;False
00261.12b64e557e52daf5fc5a52e47df2f4e3;7.0;True;8;4;7.0;7.0;7.0;8;True;True;False;False
00263.32b258c4cc08d235b2ca36fc16074f08;11.5;True;9;4;12.25;11.5;12.5;9.75;True;True;False;False
00264.02b614f34aa0d5970959123b9386b285;8.8;True;6;4;8.8;8.8;8.8;6;True;True;False;False
00279.1d58a13e343c1e53aca2ed2121a3f815;24.7;True;20;4;22.225;21.1;22.6;19.75;True;True;False;False
00280.026da2bd191f11081b8d8428134b0c66;15.1;True;12;4;15.1;15.1;15.1;12.75;True;True;False;False
00284.227c1ebb961320cd2086d904d698c49b;6.4;True;10;4;7.15;6.4;7.4;10.75;True;True;False;False
00291.7aa227e74e89bdd529a3875459d0d5a2;7.4;True;12;4;7.4;7.4;7.4;12;True;True;False;False
00292.dbf78a2aaa230d288eb80ab843804252;9.7;True;9;4;9.775;9.7;9.8;9.75;True;True;False;False
00296.85aa16f800e0aaf8755cdf23d7e035ff;7.4;True;13;4;8.15;7.4;8.4;13.75;True;True;False;False
00302.7f695c69d4cbe06e91cddd2ca7cddf33;8.7;True;8;4;6.0;6.0;6.0;7;True;True;False;False
00305.1f2a712e25638b0a4868155b37022cf1;14.9;True;19;4;14.9;14.9;14.9;19;True;True;False;False
00305.f80c21904d6d4f6facd036450a588b0d;3.0;False;5;4;3.0;3.0;3.0;5;False;False;True;True
00308.fc90f8aab51648329b9e705c9021b204;6.4;True;10;4;7.15;6.4;7.4;10.75;True;True;False;False
00312.5034fee7d265abd7a4194e9300de24bf;12.6;True;19;4;12.6;12.6;12.6;19;True;True;False;False
00337.813498483bc80a24c002e6e7e8e0f2cb;3.6;False;4;4;2.85;2.6;3.6;4;False;False;True;True
00344.e6463530b23a12554d2e6f0e08ae10a7;6.9;True;8;4;6.9;6.9;6.9;8;True;True;False;False
00346.d93a823fb3350a5da8f0c612ce1156cd;9.0;True;9;4;9.0;9.0;9.0;9;True;True;False;False
00356.ea7eb32330fa6bf65270023c0d99e2c5;17.5;True;18;4;17.5;17.5;17.5;18.75;True;True;False;False
