rule_name;rule_type;surface;breakability_u200b;score;description;expression;defined_in;defined_at_line
ACCESSDB;header;other;unknown;0;Message would have been caught by accessdb;eval:check_access_database('/etc/mail/access.db');/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_accessdb.cf;31
ACT_NOW_CAPS;body;body;likely;0.1;Talks about 'acting now' with capitals;/\bA(?i:ct) N(?i:ow)\b/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;158
AC_BR_BONANZA;rawbody;body;likely;0.001 0.001 0.001 0.001;Too many newlines in a row... spammy template;/(?:<br>\s*){30}/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;37
AC_DIV_BONANZA;rawbody;body;likely;0.001 0.001 0.001 0.001;Too many divs in a row... spammy template;/(?:<div>(?:\s*<\/div>)?\s*){10}/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;45
AC_HTML_NONSENSE_TAGS;rawbody;body;likely;1.000 1.000 1.000 1.000;Many consecutive multi-letter HTML tags, likely nonsense/spam;/(?:<[A-Za-z0-9]{4,}>\s*){10}/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;61
AD_PREFS;body;body;likely;0.250;Advertising preferences;/(?:\b|_)(?:ad(?:vert[i1l]s[i1l]ng)?|promo(?:tion)?|marketing)[- _](?:pref(?:s|erences)|settings)(?:\b|_)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;280
ALL_TRUSTED;header;other;unknown;-1.000;Passed through trusted hosts only via SMTP;eval:check_all_trusted();/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_compensate.cf;40
APOSTROPHE_FROM;header;other;unlikely;0.148 0.786 0.651 0.545 # n=2;From address contains an apostrophe;From:addr =~ /'/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;304
ARC_SIGNED;full;body;likely;0.001 0.001 0.001 0.001;Message has a ARC signature;eval:check_arc_signed();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_arc.cf;30
ARC_TRUSTED;full;body;likely;0.001 0.001 0.001 0.001;Message has valid ARC chain from trusted sealer;eval:check_arc_trusted();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_arc.cf;43
ARC_VALID;full;body;likely;0.001 0.001 0.001 0.001;Message has a valid ARC signature;eval:check_arc_valid();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_arc.cf;35
AWL;header;other;unknown;;Adjusted score from AWL reputation of From: address;eval:check_from_in_auto_whitelist();/var/lib/spamassassin/4.000001/updates_spamassassin_org/60_awl.cf;30
BAD_CREDIT;body;body;likely;0.1;Eliminate Bad Credit;/\b(?:(?:bad|poor|eliminate|repair|(?:re)?establish|damag).{0,10} (?:credit|debt)|no credit (?:check|histor|need))/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;111
BAD_ENC_HEADER;header;other;unknown;0.001;Message has bad MIME encoding in the header;ALL:raw =~ /=\?[^?\s]+\?[^?\s]\?\s*[^?]+\s(?!\?=)/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;423
BANG_GUAR;body;body;likely;1.0;Something is emphatically guaranteed;/\bguaranteed?\!/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;165
BANG_OPRAH;body;body;likely;0 # n=0 n=1 n=2 n=3;Talks about Oprah with an exclamation!;/\boprah!/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;154
BANKING_LAWS;body;body;likely;2.399 2.004 2.157 1.099 # n=2;Talks about banking laws;/banking laws/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;336
BASE64_LENGTH_78_79;body;body;unlikely;0.1;;eval:check_base64_length('78','79');/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;343
BASE64_LENGTH_79_INF;body;body;unlikely;1.379 2.019 0.583 1.502 # n=2;base64 encoded email part uses line length greater than 79 characters;eval:check_base64_length('79');/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;351
BAYES_00;body;body;likely;0  0 -1.5   -1.9;Bayes spam probability is 0 to 1%;eval:check_bayes('0.00', '0.01');/var/lib/spamassassin/4.000001/updates_spamassassin_org/23_bayes.cf;32
BAYES_05;body;body;likely;0  0 -0.3   -0.5;Bayes spam probability is 1 to 5%;eval:check_bayes('0.01', '0.05');/var/lib/spamassassin/4.000001/updates_spamassassin_org/23_bayes.cf;33
BAYES_20;body;body;likely;0  0 -0.001 -0.001;Bayes spam probability is 5 to 20%;eval:check_bayes('0.05', '0.20');/var/lib/spamassassin/4.000001/updates_spamassassin_org/23_bayes.cf;34
BAYES_40;body;body;likely;0  0 -0.001 -0.001;Bayes spam probability is 20 to 40%;eval:check_bayes('0.20', '0.40');/var/lib/spamassassin/4.000001/updates_spamassassin_org/23_bayes.cf;35
BAYES_50;body;body;likely;0  0  2.0    0.8;Bayes spam probability is 40 to 60%;eval:check_bayes('0.40', '0.60');/var/lib/spamassassin/4.000001/updates_spamassassin_org/23_bayes.cf;39
BAYES_60;body;body;likely;0  0  2.5    1.5;Bayes spam probability is 60 to 80%;eval:check_bayes('0.60', '0.80');/var/lib/spamassassin/4.000001/updates_spamassassin_org/23_bayes.cf;41
BAYES_80;body;body;likely;0  0  2.7    2.0;Bayes spam probability is 80 to 95%;eval:check_bayes('0.80', '0.95');/var/lib/spamassassin/4.000001/updates_spamassassin_org/23_bayes.cf;42
BAYES_95;body;body;likely;0  0  3.2    3.0;Bayes spam probability is 95 to 99%;eval:check_bayes('0.95', '0.99');/var/lib/spamassassin/4.000001/updates_spamassassin_org/23_bayes.cf;43
BAYES_99;body;body;likely;0  0  3.8    3.5;Bayes spam probability is 99 to 100%;eval:check_bayes('0.99', '1.00');/var/lib/spamassassin/4.000001/updates_spamassassin_org/23_bayes.cf;44
BAYES_999;body;body;likely;0  0  0.2    0.2;Bayes spam probability is 99.9 to 100%;eval:check_bayes('0.999', '1.00');/var/lib/spamassassin/4.000001/updates_spamassassin_org/23_bayes.cf;47
BILLION_DOLLARS;body;body;likely;0.001 1.451 1.229 1.638;Talks about lots of money;/[BM]ILLION DOLLAR/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;49
BILL_1618;body;body;likely;;Mentions proposed US law supposedly permitting spamming;/\bUnder Bill\s?s?.1618(?: Title III)? passed by the 105th U\.S\. Congress\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;382
BLANK_LINES_80_90;body;body;likely;0 # n=0 n=1 n=2 n=3;Message body has 80-90% blank lines;eval:check_blank_line_ratio('80','90','4');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_body_tests.cf;93
BODY_8BITS;body;body;likely;1.500;Body includes 8 consecutive 8-bit characters;eval:check_body_8bits();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_textcat.cf;39
BODY_ENHANCEMENT;body;body;likely;0.927 1.611 0.974 0.001;Information on growing body parts;/\b(?:enlarge|increase|grow|lengthen|larger\b|bigger\b|longer\b|thicker\b|\binches\b).{0,50}\b(?:penis|male organ|pee[ -]?pee|dick|sc?hlong|wh?anger|breast(?!\s+cancer))/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;74
