rule_name;rule_type;surface;breakability_u200b;score;description;expression;defined_in;defined_at_line
UNCLAIMED_MONEY;body;body;likely;2.699 2.699 2.699 2.427;People just leave money laying around;/\bunclaimed\s(?:assets?|accounts?|mon(?:ey|ies)|balance|funds?|prizes?|rewards?|payments?|deposits?)\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_phrases.cf;148
TVD_PH_SEC;body;body;likely;0.1;Message includes a phrase commonly used in phishing mails;/\byour .{0,40}account .{0,40}security/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;4648
TVD_PH_REC;body;body;likely;0.1;Message includes a phrase commonly used in phishing mails;/\byour .{0,40}account .{0,40}record/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;4642
__YOU_WON_03;body;body;likely;;;/\b(?:your?|win+ing|win+ers?|beneficiaries|participants?|individuals?|address(?:es)?|accounts?|emails?)(?:\s[-a-z\s]{4,40})?\s(?:w(?:ere|as)|ha(?:ve|s) be(?:en)?)\s(?:automatically\s)?(?:(?:randomly|raffly)\s(?:selected|cho+sen|cho+sing|picked)|(?:selected|cho+sen|cho+sing|picked)\s(?:[a-z\s]{2,40}?\srandom(?:ly)?|online|lottery|computer\s(?:ballot|wahlgang))|(?:selected|cho+sen|cho+sing|picked)(?:\sas?|\sthe){0,3}\swin+er)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;10653
__WEBMAIL_ACCT;body;body;likely;;;/\byour web ?mail account/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;10468
__URI_TRY_3LD;uri;body;likely;;;m,^https?://(?:try(?!r\.codeschool)|start|get(?!\.adobe)|save|check(?!out)|act(?!ion)|compare|join(?!\.slack)|learn(?!ing)|request|visit(?!or|\.vermont)|my(?!sub|turbotax|news\.apple|a\.godaddy|account|support|build|blob|images?|photos?|chart)\w)[^.]*\.(?:(?!list-manage|lt|adobe\.)[^/.]+\.)+(?:com|net)\b,i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;10405
__TVD_PH_BODY_08;body;body;likely;;;/\bmultiple password failures/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;10125
__TVD_PH_BODY_07;body;body;likely;;;/\bguarantee the safety of your (?:[a-z_,-]+ )*?account/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;10123
__TVD_PH_BODY_04;body;body;likely;;;/\bfunds? (?!transfer from)(?!from)(?!in)(?!via)(?:[a-z_,-]+ )+?to your (?:[a-z_,-]+ )*?account/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;10117
__TVD_PH_BODY_01;body;body;likely;;;/\baccount .{0,20}placed? [io]n restricted status/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;10111
__SHARE_IT;body;body;likely;;;/\b(?:(?:share|allocate|teilen|parteger(?:ez|ons)?|partage)\s(?:th(?:e|is)|das|les?|des)\s(?:proceeds|funds?|money|balance|account|geld|compte|fonds)|partager(?:ez|ons)? (?:avec (?:vous|moi)|ratio|suivant un pourcentage))\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;9803
__PCT_FOR_YOU_3;body;body;likely;;;/\byour?\s(?!can)(?:(?!you)\w{1,15}\s){0,10}(?:(?:share|entiti?le(?:d|ment)?|percentage|fee|assist(?:ance)?|comp[ea]nsat(?:ed?|tion)|reward(?:ed)?|renumerat(?:e|tion)|com+is+ion|paid|deduct|account|tage|(?:will|shall|would|(?:are|stand|going)\sto)\s(?:be\s)?(?:tak(?:e|ing)|earn|get(?:ting)?|remit|subtract|with+old)|(?:deduct|taken?|subtract(?:ed)?)\syour|keep(?:ing)?|receiv(?:e|ing)|retain(?:ing)?|have|half|giv(?:en|ing)|paid|(?:give|pay|offer)\s(?:me|you|him)|bank\saccount|to\s(?:take|use)|(?:time|country)\sand|ratio\sof)(?:\s(?!you)\w{1,15}){0,10})\s(?<!by\s)(?<!up\sto\s)<PERCENT>/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;9298
__PASSWORD_UPGRADE;body;body;likely;;;/\bpassword upgrade\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;9251
__PASSWORD_EXP_CLUMSY;body;body;likely;;;/\bpassword is due for expiration yesterday\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;9249
__MOVE_MONEY;body;body;likely;;;/\b(?:(?:receive|re-?profile|transfer(?:ring|ir|t)?|release|repatriat(?:e|ion)|rapatrier|secure|r(?:e|=E9|[\xe9]|[\xc3][\xa9])clamation|possession|virer|dona(?:te|r)|depositante|dep[\xc3][\xb3]sito)\s(?:th(?:e(?:se)?|is)|d[ae]s|sur ce|de ce[st]|cet|est[eao]s?|del?)|re-?profiling|receive|re-?locat(?:e|ing)(?:\s\w{1,15})?)\s(?:of\s|your\s|the\s){0,2}(?:sums?\sof\s|inheritance\s)?(?:proceeds|funds?|money|balance|account|g[eo]ld|compte|fond[so]{1,2}|dinero|argent)\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;9054
__MAIL_ACCT_ACCESS2;body;body;likely;;;/\blo+se ac+es+ to your (?:web|e-?)?mail ?(?:account|log-?in|box|address)\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;8908
__MAIL_ACCT_ACCESS1;body;body;likely;;;/\b(?:your (?:web ?|e-?)?mail (?:account|log-?in) (?:has )?been accessed|r(?:=F3|[\xf3])zne komputery zalogowaniu sie)\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;8906
__MAILBOX_FULL;body;body;likely;;;/\b(?:you(?:r (?:mail\s?box|(?:e-?|web ?)mail))? (?:is (?:almost )?full|quota is running low|(?:quota )?ha(?:s|ve) (?:reached|exceeded|passed) (?:the|your|it'?s?) (?:university )?(?:size|storage|set|(?:e-?|web ?)mail|quota|folder|mail ?box)[\/\s](?:limit |quota |account )+)|over your mail\s?box (?:size )?(?:limit|quota)|maximum mail\s?box (?:size )?(?:limit|quota) exceeded|sua (?:conta|caixa) de (?:(?:e-?|web ?)mail|correio) (?:excedeu (?:sua|o) limite|est(?:=E1|[\xe1]|[\xc3][\xa1]) quase cheio))\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;8900
__LOCK_MAILBOX;body;body;likely;;;"/\b(?:(?:deactivate|lock(?: up)?|lose ac+ess to|los[se] (?:of )?(?:important )?(?:information|mail|messages) in) (?:your )?(?:mail\s?box|(?:web ?|e-?)mail)|your (?:mail\s?box|(?:(?:web ?|e-?)mail)(?: account)?) (?:(?:will|may) be(?:come)? )?(?:in-?a(?:ctive|cess[ia]ble)|locked|disabled|deleted|removed)\b|ditt konto vara ""?deaktiverad""?|begr(?:=E4|\xe4|[\xc3][\xa4])nsad tillg(?:=E5|[\xe5]|[\xc3][\xa5])ng till din brevl(?:=E5|[\xe5]|[\xc3][\xa5])da|contas? de (?:web ?|e-?)mail (?:ser(?:=E1|[\xe1]|[\xc3][\xa1]) (?:desativado|exclu(?:=ED|[\xed]|[\xc3][\xad])do)|(?:=E9|[\xe9]|[\xc3][\xa9]) exclu(?:=ED|[\xed]|[\xc3][\xad])do)|destruir a sua caixa de (?:correio|entrada)|tw(?:=F3|[\xf3])j konto zostalo ograniczone|straci swoje e-?mail na sta[\xc5][\x82]e|konto zostanie automatycznie wy[\xc5][\x82][\xc4][\x85]czona|e-?mail account[^.]{0,30}deactivated (?:in|from) our (?:database|system|server)|you will be deactivated|(?:account|e?-?mail(?: ?box)?) (?:will (?:be )?)?(?:shut ?down|expire|deactivate)|we have (?:stopped|suspended) (?:processing|accepting) (?:any )?(?:incoming|new|fresh) email)/i";/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;8780
__HK_SCAM_S15;body;body;likely;;;/(?:discovered a dormant account|can you be my partner)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;8496
