case_id;title;variant;expected_rule;spam_flag;score;rules;expected_rule_hit;n_insert_subject;n_insert_body;message_path;expected_behavior;break_success;case_success
SAR001;Break SUBJ_YOUR_FAMILY with a single U+200B insertion;unsalted;SUBJ_YOUR_FAMILY;False;3.0;NO_RECEIVED|NO_RELAYS|SUBJ_YOUR_FAMILY;True;0;0;C:\Projekte\masterthesis_cys\data\output\pilot\sa\rule_based\rules\messages\unsalted\SAR001_unsalted.eml;break;True;True
SAR001;Break SUBJ_YOUR_FAMILY with a single U+200B insertion;salted;SUBJ_YOUR_FAMILY;False;-0.0;NO_RECEIVED;False;1;0;C:\Projekte\masterthesis_cys\data\output\pilot\sa\rule_based\rules\messages\salted\SAR001_salted.eml;break;True;True
SAR002;Break SUBJ_AS_SEEN with a single U+200B insertion;unsalted;SUBJ_AS_SEEN;False;3.1;NO_RECEIVED|NO_RELAYS|SUBJ_AS_SEEN;True;0;0;C:\Projekte\masterthesis_cys\data\output\pilot\sa\rule_based\rules\messages\unsalted\SAR002_unsalted.eml;break;True;True
SAR002;Break SUBJ_AS_SEEN with a single U+200B insertion;salted;SUBJ_AS_SEEN;False;-0.0;NO_RECEIVED;False;1;0;C:\Projekte\masterthesis_cys\data\output\pilot\sa\rule_based\rules\messages\salted\SAR002_salted.eml;break;True;True
SAR003;Break TVD_PH_SEC with a single U+200B insertion;unsalted;TVD_PH_SEC;False;0.1;NO_RECEIVED|NO_RELAYS|TVD_PH_BODY_ACCOUNTS_PRE|TVD_PH_SEC;True;0;0;C:\Projekte\masterthesis_cys\data\output\pilot\sa\rule_based\rules\messages\unsalted\SAR003_unsalted.eml;break;True;True
SAR003;Break TVD_PH_SEC with a single U+200B insertion;salted;TVD_PH_SEC;False;-0.0;NO_RECEIVED;False;0;1;C:\Projekte\masterthesis_cys\data\output\pilot\sa\rule_based\rules\messages\salted\SAR003_salted.eml;break;True;True
SAR004;Break TVD_PH_REC with a single U+200B insertion;unsalted;TVD_PH_REC;False;0.1;NO_RECEIVED|NO_RELAYS|TVD_PH_REC;True;0;0;C:\Projekte\masterthesis_cys\data\output\pilot\sa\rule_based\rules\messages\unsalted\SAR004_unsalted.eml;break;True;True
SAR004;Break TVD_PH_REC with a single U+200B insertion;salted;TVD_PH_REC;False;-0.0;NO_RECEIVED;False;0;1;C:\Projekte\masterthesis_cys\data\output\pilot\sa\rule_based\rules\messages\salted\SAR004_salted.eml;break;True;True
SAR005;Control case: SUBJ_ALL_CAPS should survive a single U+200B insertion;unsalted;SUBJ_ALL_CAPS;False;1.4;NO_RECEIVED|NO_RELAYS|SUBJ_ALL_CAPS|URG_BIZ;True;0;0;C:\Projekte\masterthesis_cys\data\output\pilot\sa\rule_based\rules\messages\unsalted\SAR005_unsalted.eml;preserve;False;True
SAR005;Control case: SUBJ_ALL_CAPS should survive a single U+200B insertion;salted;SUBJ_ALL_CAPS;False;0.5;NO_RECEIVED|NO_RELAYS|SUBJ_ALL_CAPS;True;1;0;C:\Projekte\masterthesis_cys\data\output\pilot\sa\rule_based\rules\messages\salted\SAR005_salted.eml;preserve;False;True
